Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,10,2,1,5,625.1424199999999
0.001,10,2,1,10,625.1392
0.001,10,2,1,20,625.13974
0.001,10,2,1,30,625.13974
0.001,10,2,1,100,625.13974
0.001,10,2,5,5,625.14314
0.001,10,2,5,10,625.14066
0.001,10,2,5,20,625.14074
0.001,10,2,5,30,625.14074
0.001,10,2,5,100,625.14074
0.001,10,2,10,5,625.1435200000001
0.001,10,2,10,10,625.14128
0.001,10,2,10,20,625.14132
0.001,10,2,10,30,625.14132
0.001,10,2,10,100,625.14132
0.001,10,2,20,5,625.1459199999999
0.001,10,2,20,10,625.14476
0.001,10,2,20,20,625.1447000000001
0.001,10,2,20,30,625.1447000000001
0.001,10,2,20,100,625.1447000000001
0.001,10,6,1,5,625.1423
0.001,10,6,1,10,625.13912
0.001,10,6,1,20,625.1392
0.001,10,6,1,30,625.1392
0.001,10,6,1,100,625.1392
0.001,10,6,5,5,625.14314
0.001,10,6,5,10,625.14066
0.001,10,6,5,20,625.14074
0.001,10,6,5,30,625.14074
0.001,10,6,5,100,625.14074
0.001,10,6,10,5,625.1435200000001
0.001,10,6,10,10,625.14128
0.001,10,6,10,20,625.14132
0.001,10,6,10,30,625.14132
0.001,10,6,10,100,625.14132
0.001,10,6,20,5,625.1459199999999
0.001,10,6,20,10,625.14476
0.001,10,6,20,20,625.1447000000001
0.001,10,6,20,30,625.1447000000001
0.001,10,6,20,100,625.1447000000001
0.001,10,10,1,5,625.1425200000001
0.001,10,10,1,10,625.14008
0.001,10,10,1,20,625.1402
0.001,10,10,1,30,625.1402
0.001,10,10,1,100,625.1402
0.001,10,10,5,5,625.14314
0.001,10,10,5,10,625.14066
0.001,10,10,5,20,625.14074
0.001,10,10,5,30,625.14074
0.001,10,10,5,100,625.14074
0.001,10,10,10,5,625.1435200000001
0.001,10,10,10,10,625.14128
0.001,10,10,10,20,625.14132
0.001,10,10,10,30,625.14132
0.001,10,10,10,100,625.14132
0.001,10,10,20,5,625.1459199999999
0.001,10,10,20,10,625.14476
0.001,10,10,20,20,625.1447000000001
0.001,10,10,20,30,625.1447000000001
0.001,10,10,20,100,625.1447000000001
0.001,10,20,1,5,625.1427
0.001,10,20,1,10,625.1403600000001
0.001,10,20,1,20,625.1402800000001
0.001,10,20,1,30,625.1402800000001
0.001,10,20,1,100,625.1402800000001
0.001,10,20,5,5,625.14322
0.001,10,20,5,10,625.1410599999999
0.001,10,20,5,20,625.1409600000001
0.001,10,20,5,30,625.1409600000001
0.001,10,20,5,100,625.1409600000001
0.001,10,20,10,5,625.1435200000001
0.001,10,20,10,10,625.14128
0.001,10,20,10,20,625.14132
0.001,10,20,10,30,625.14132
0.001,10,20,10,100,625.14132
0.001,10,20,20,5,625.1459199999999
0.001,10,20,20,10,625.14476
0.001,10,20,20,20,625.1447000000001
0.001,10,20,20,30,625.1447000000001
0.001,10,20,20,100,625.1447000000001
0.001,10,40,1,5,625.14294
0.001,10,40,1,10,625.14092
0.001,10,40,1,20,625.14084
0.001,10,40,1,30,625.14084
0.001,10,40,1,100,625.14084
0.001,10,40,5,5,625.14326
0.001,10,40,5,10,625.14114
0.001,10,40,5,20,625.14108
0.001,10,40,5,30,625.14108
0.001,10,40,5,100,625.14108
0.001,10,40,10,5,625.14342
0.001,10,40,10,10,625.14146
0.001,10,40,10,20,625.14146
0.001,10,40,10,30,625.14146
0.001,10,40,10,100,625.14146
0.001,10,40,20,5,625.1459199999999
0.001,10,40,20,10,625.14476
0.001,10,40,20,20,625.1447000000001
0.001,10,40,20,30,625.1447000000001
0.001,10,40,20,100,625.1447000000001
0.001,30,2,1,5,612.7702400000001
0.001,30,2,1,10,612.76036
0.001,30,2,1,20,612.76202
