Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,10,2,1,5,35.411719999999995
0.001,10,2,1,10,35.40758
0.001,10,2,1,20,35.40744
0.001,10,2,1,30,35.40742
0.001,10,2,1,100,35.40742
0.001,10,2,5,5,35.41178
0.001,10,2,5,10,35.40624
0.001,10,2,5,20,35.40624
0.001,10,2,5,30,35.40624
0.001,10,2,5,100,35.40624
0.001,10,2,10,5,35.412
0.001,10,2,10,10,35.40728
0.001,10,2,10,20,35.40728
0.001,10,2,10,30,35.40728
0.001,10,2,10,100,35.40728
0.001,10,2,20,5,35.4129
0.001,10,2,20,10,35.41092
0.001,10,2,20,20,35.41092
0.001,10,2,20,30,35.41092
0.001,10,2,20,100,35.41092
0.001,10,6,1,5,35.41166
0.001,10,6,1,10,35.4065
0.001,10,6,1,20,35.406259999999996
0.001,10,6,1,30,35.406259999999996
0.001,10,6,1,100,35.406259999999996
0.001,10,6,5,5,35.41178
0.001,10,6,5,10,35.40624
0.001,10,6,5,20,35.40624
0.001,10,6,5,30,35.40624
0.001,10,6,5,100,35.40624
0.001,10,6,10,5,35.412
0.001,10,6,10,10,35.40728
0.001,10,6,10,20,35.40728
0.001,10,6,10,30,35.40728
0.001,10,6,10,100,35.40728
0.001,10,6,20,5,35.4129
0.001,10,6,20,10,35.41092
0.001,10,6,20,20,35.41092
0.001,10,6,20,30,35.41092
0.001,10,6,20,100,35.41092
0.001,10,10,1,5,35.411699999999996
0.001,10,10,1,10,35.4064
0.001,10,10,1,20,35.40636
0.001,10,10,1,30,35.40636
0.001,10,10,1,100,35.40636
0.001,10,10,5,5,35.41178
0.001,10,10,5,10,35.40624
0.001,10,10,5,20,35.40624
0.001,10,10,5,30,35.40624
0.001,10,10,5,100,35.40624
0.001,10,10,10,5,35.412
0.001,10,10,10,10,35.40728
0.001,10,10,10,20,35.40728
0.001,10,10,10,30,35.40728
0.001,10,10,10,100,35.40728
0.001,10,10,20,5,35.4129
0.001,10,10,20,10,35.41092
0.001,10,10,20,20,35.41092
0.001,10,10,20,30,35.41092
0.001,10,10,20,100,35.41092
0.001,10,20,1,5,35.41176
0.001,10,20,1,10,35.4064
0.001,10,20,1,20,35.4064
0.001,10,20,1,30,35.4064
0.001,10,20,1,100,35.4064
0.001,10,20,5,5,35.41184
0.001,10,20,5,10,35.40656
0.001,10,20,5,20,35.40656
0.001,10,20,5,30,35.40656
0.001,10,20,5,100,35.40656
0.001,10,20,10,5,35.412
0.001,10,20,10,10,35.40728
0.001,10,20,10,20,35.40728
0.001,10,20,10,30,35.40728
0.001,10,20,10,100,35.40728
0.001,10,20,20,5,35.4129
0.001,10,20,20,10,35.41092
0.001,10,20,20,20,35.41092
0.001,10,20,20,30,35.41092
0.001,10,20,20,100,35.41092
0.001,10,40,1,5,35.41278
0.001,10,40,1,10,35.410759999999996
0.001,10,40,1,20,35.410759999999996
0.001,10,40,1,30,35.410759999999996
0.001,10,40,1,100,35.410759999999996
0.001,10,40,5,5,35.41278
0.001,10,40,5,10,35.410759999999996
0.001,10,40,5,20,35.410759999999996
0.001,10,40,5,30,35.410759999999996
0.001,10,40,5,100,35.410759999999996
0.001,10,40,10,5,35.41286
0.001,10,40,10,10,35.41083999999999
0.001,10,40,10,20,35.41083999999999
0.001,10,40,10,30,35.41083999999999
0.001,10,40,10,100,35.41083999999999
0.001,10,40,20,5,35.4129
0.001,10,40,20,10,35.41092
0.001,10,40,20,20,35.41092
0.001,10,40,20,30,35.41092
0.001,10,40,20,100,35.41092
0.001,30,2,1,5,34.72992
0.001,30,2,1,10,34.71964
0.001,30,2,1,20,34.71918
0.001,30,2,1,30,34.719179999999994
0.001,30,2,1,100,34.719139999999996
0.001,30,2,5,5,34.73018
0.001,30,2,5,10,34.71336
0.001,30,2,5,20,34.71336
0.001,30,2,5,30,34.71336
0.001,30,2,5,100,34.71336
0.001,30,2,10,5,34.7308
0.001,30,2,10,10,34.71642
0.001,30,2,10,20,34.71642
0.001,30,2,10,30,34.71642
0.001,30,2,10,100,34.71642
0.001,30,2,20,5,34.73342
0.001,30,2,20,10,34.72762
0.001,30,2,20,20,34.72762
0.001,30,2,20,30,34.72762
0.001,30,2,20,100,34.72762
0.001,30,6,1,5,34.72986
0.001,30,6,1,10,34.7144
0.001,30,6,1,20,34.7137
0.001,30,6,1,30,34.7137
0.001,30,6,1,100,34.7137
0.001,30,6,5,5,34.73018
0.001,30,6,5,10,34.71336
0.001,30,6,5,20,34.71336
0.001,30,6,5,30,34.71336
0.001,30,6,5,100,34.71336
0.001,30,6,10,5,34.7308
0.001,30,6,10,10,34.71642
0.001,30,6,10,20,34.71642
0.001,30,6,10,30,34.71642
0.001,30,6,10,100,34.71642
0.001,30,6,20,5,34.73342
0.001,30,6,20,10,34.72762
0.001,30,6,20,20,34.72762
0.001,30,6,20,30,34.72762
0.001,30,6,20,100,34.72762
0.001,30,10,1,5,34.72988
0.001,30,10,1,10,34.71408
0.001,30,10,1,20,34.71404
0.001,30,10,1,30,34.71404
0.001,30,10,1,100,34.71404
0.001,30,10,5,5,34.73018
0.001,30,10,5,10,34.71336
0.001,30,10,5,20,34.71336
0.001,30,10,5,30,34.71336
0.001,30,10,5,100,34.71336
0.001,30,10,10,5,34.7308
0.001,30,10,10,10,34.71642
0.001,30,10,10,20,34.71642
0.001,30,10,10,30,34.71642
0.001,30,10,10,100,34.71642
0.001,30,10,20,5,34.73342
0.001,30,10,20,10,34.72762
0.001,30,10,20,20,34.72762
0.001,30,10,20,30,34.72762
0.001,30,10,20,100,34.72762
0.001,30,20,1,5,34.73002
0.001,30,20,1,10,34.713899999999995
0.001,30,20,1,20,34.713899999999995
0.001,30,20,1,30,34.713899999999995
0.001,30,20,1,100,34.713899999999995
0.001,30,20,5,5,34.7303
0.001,30,20,5,10,34.714279999999995
0.001,30,20,5,20,34.714279999999995
0.001,30,20,5,30,34.714279999999995
0.001,30,20,5,100,34.714279999999995
0.001,30,20,10,5,34.7308
0.001,30,20,10,10,34.71642
0.001,30,20,10,20,34.71642
0.001,30,20,10,30,34.71642
0.001,30,20,10,100,34.71642
0.001,30,20,20,5,34.73342
0.001,30,20,20,10,34.72762
0.001,30,20,20,20,34.72762
0.001,30,20,20,30,34.72762
0.001,30,20,20,100,34.72762
0.001,30,40,1,5,34.73312
0.001,30,40,1,10,34.72716
0.001,30,40,1,20,34.72716
0.001,30,40,1,30,34.72716
0.001,30,40,1,100,34.72716
0.001,30,40,5,5,34.73312
0.001,30,40,5,10,34.72716
0.001,30,40,5,20,34.72716
0.001,30,40,5,30,34.72716
0.001,30,40,5,100,34.72716
0.001,30,40,10,5,34.73336
0.001,30,40,10,10,34.7274
