Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,10,2,1,5,12.85834
0.001,10,2,1,10,12.84094
0.001,10,2,1,20,12.82846
0.001,10,2,1,30,12.82806
0.001,10,2,1,100,12.82748
0.001,10,2,5,5,12.85842
0.001,10,2,5,10,12.84522
0.001,10,2,5,20,12.83812
0.001,10,2,5,30,12.83806
0.001,10,2,5,100,12.83806
0.001,10,2,10,5,12.858
0.001,10,2,10,10,12.84612
0.001,10,2,10,20,12.84286
0.001,10,2,10,30,12.84282
0.001,10,2,10,100,12.84284
0.001,10,2,20,5,12.85844
0.001,10,2,20,10,12.84968
0.001,10,2,20,20,12.8489
0.001,10,2,20,30,12.8489
0.001,10,2,20,100,12.8489
0.001,10,6,1,5,12.85824
0.001,10,6,1,10,12.84154
0.001,10,6,1,20,12.83042
0.001,10,6,1,30,12.83004
0.001,10,6,1,100,12.82996
0.001,10,6,5,5,12.85842
0.001,10,6,5,10,12.84522
0.001,10,6,5,20,12.83808
0.001,10,6,5,30,12.83804
0.001,10,6,5,100,12.83802
0.001,10,6,10,5,12.858
0.001,10,6,10,10,12.8461
0.001,10,6,10,20,12.84286
0.001,10,6,10,30,12.84284
0.001,10,6,10,100,12.84282
0.001,10,6,20,5,12.85844
0.001,10,6,20,10,12.84968
0.001,10,6,20,20,12.8489
0.001,10,6,20,30,12.8489
0.001,10,6,20,100,12.8489
0.001,10,10,1,5,12.85882
0.001,10,10,1,10,12.84374
0.001,10,10,1,20,12.83448
0.001,10,10,1,30,12.83426
0.001,10,10,1,100,12.83438
0.001,10,10,5,5,12.85842
0.001,10,10,5,10,12.84526
0.001,10,10,5,20,12.8381
0.001,10,10,5,30,12.83806
0.001,10,10,5,100,12.83804
0.001,10,10,10,5,12.85802
0.001,10,10,10,10,12.8461
0.001,10,10,10,20,12.84284
0.001,10,10,10,30,12.84286
0.001,10,10,10,100,12.84284
0.001,10,10,20,5,12.85844
0.001,10,10,20,10,12.84968
0.001,10,10,20,20,12.8489
0.001,10,10,20,30,12.8489
0.001,10,10,20,100,12.8489
0.001,10,20,1,5,12.8584
0.001,10,20,1,10,12.84432
0.001,10,20,1,20,12.83844
0.001,10,20,1,30,12.8384
0.001,10,20,1,100,12.8384
