Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,10.0,2.0,1.0,5.0,20835.773699999998
0.001,10.0,2.0,1.0,10.0,20836.25648
0.001,10.0,2.0,1.0,20.0,20836.605779999998
0.001,10.0,2.0,1.0,30.0,20836.47598
0.001,10.0,2.0,1.0,100.0,20836.54258
0.001,10.0,2.0,5.0,5.0,20835.77258
0.001,10.0,2.0,5.0,10.0,20832.282119999996
0.001,10.0,2.0,5.0,20.0,20832.281899999998
0.001,10.0,2.0,5.0,30.0,20832.282
0.001,10.0,2.0,5.0,100.0,20832.28192
0.001,10.0,2.0,10.0,5.0,20835.7824
0.001,10.0,2.0,10.0,10.0,20833.271780000003
0.001,10.0,2.0,10.0,20.0,20833.271660000002
0.001,10.0,2.0,10.0,30.0,20833.271660000002
0.001,10.0,2.0,10.0,100.0,20833.271660000002
0.001,10.0,2.0,20.0,5.0,20836.174
0.001,10.0,2.0,20.0,10.0,20836.17434
0.001,10.0,2.0,20.0,20.0,20836.17434
0.001,10.0,2.0,20.0,30.0,20836.17434
0.001,10.0,2.0,20.0,100.0,20836.17434
0.001,10.0,6.0,1.0,5.0,20835.77374
0.001,10.0,6.0,1.0,10.0,20836.419859999998
0.001,10.0,6.0,1.0,20.0,20836.41696
0.001,10.0,6.0,1.0,30.0,20836.41774
0.001,10.0,6.0,1.0,100.0,20836.41716
0.001,10.0,6.0,5.0,5.0,20835.77258
0.001,10.0,6.0,5.0,10.0,20832.2821
0.001,10.0,6.0,5.0,20.0,20832.28206
0.001,10.0,6.0,5.0,30.0,20832.28204
0.001,10.0,6.0,5.0,100.0,20832.282
0.001,10.0,6.0,10.0,5.0,20835.7824
0.001,10.0,6.0,10.0,10.0,20833.271780000003
0.001,10.0,6.0,10.0,20.0,20833.271660000002
0.001,10.0,6.0,10.0,30.0,20833.271660000002
0.001,10.0,6.0,10.0,100.0,20833.271660000002
0.001,10.0,6.0,20.0,5.0,20836.174
0.001,10.0,6.0,20.0,10.0,20836.17434
0.001,10.0,6.0,20.0,20.0,20836.17434
0.001,10.0,6.0,20.0,30.0,20836.17434
0.001,10.0,6.0,20.0,100.0,20836.17434
0.001,10.0,10.0,1.0,5.0,20835.773760000004
0.001,10.0,10.0,1.0,10.0,20836.40136
0.001,10.0,10.0,1.0,20.0,20836.4008
0.001,10.0,10.0,1.0,30.0,20836.4006
0.001,10.0,10.0,1.0,100.0,20836.40062
0.001,10.0,10.0,5.0,5.0,20835.77258
0.001,10.0,10.0,5.0,10.0,20832.282
0.001,10.0,10.0,5.0,20.0,20832.28206
0.001,10.0,10.0,5.0,30.0,20832.28196
0.001,10.0,10.0,5.0,100.0,20832.28196
0.001,10.0,10.0,10.0,5.0,20835.7824
0.001,10.0,10.0,10.0,10.0,20833.271780000003
0.001,10.0,10.0,10.0,20.0,20833.271660000002
0.001,10.0,10.0,10.0,30.0,20833.271660000002
0.001,10.0,10.0,10.0,100.0,20833.271660000002
0.001,10.0,10.0,20.0,5.0,20836.174
0.001,10.0,10.0,20.0,10.0,20836.17434
0.001,10.0,10.0,20.0,20.0,20836.17434
0.001,10.0,10.0,20.0,30.0,20836.17434
0.001,10.0,10.0,20.0,100.0,20836.17434
0.001,10.0,20.0,1.0,5.0,20835.7771
0.001,10.0,20.0,1.0,10.0,20833.44532
0.001,10.0,20.0,1.0,20.0,20833.44518
0.001,10.0,20.0,1.0,30.0,20833.44522
0.001,10.0,20.0,1.0,100.0,20833.445
0.001,10.0,20.0,5.0,5.0,20835.77712
0.001,10.0,20.0,5.0,10.0,20833.443160000003
0.001,10.0,20.0,5.0,20.0,20833.443160000003
0.001,10.0,20.0,5.0,30.0,20833.443160000003
0.001,10.0,20.0,5.0,100.0,20833.443160000003
0.001,10.0,20.0,10.0,5.0,20835.7824
0.001,10.0,20.0,10.0,10.0,20833.271780000003
0.001,10.0,20.0,10.0,20.0,20833.271660000002
0.001,10.0,20.0,10.0,30.0,20833.271660000002
0.001,10.0,20.0,10.0,100.0,20833.271660000002
0.001,10.0,20.0,20.0,5.0,20836.174
0.001,10.0,20.0,20.0,10.0,20836.17434
0.001,10.0,20.0,20.0,20.0,20836.17434
0.001,10.0,20.0,20.0,30.0,20836.17434
0.001,10.0,20.0,20.0,100.0,20836.17434
0.001,10.0,40.0,1.0,5.0,20836.19742
0.001,10.0,40.0,1.0,10.0,20836.19736
0.001,10.0,40.0,1.0,20.0,20836.19726
0.001,10.0,40.0,1.0,30.0,20836.1973
0.001,10.0,40.0,1.0,100.0,20836.19728
0.001,10.0,40.0,5.0,5.0,20836.197659999998
0.001,10.0,40.0,5.0,10.0,20836.19754
0.001,10.0,40.0,5.0,20.0,20836.19754
0.001,10.0,40.0,5.0,30.0,20836.19754
0.001,10.0,40.0,5.0,100.0,20836.19754
0.001,10.0,40.0,10.0,5.0,20836.16498
0.001,10.0,40.0,10.0,10.0,20836.16546
0.001,10.0,40.0,10.0,20.0,20836.16544
0.001,10.0,40.0,10.0,30.0,20836.16544
0.001,10.0,40.0,10.0,100.0,20836.16544
0.001,10.0,40.0,20.0,5.0,20836.174
0.001,10.0,40.0,20.0,10.0,20836.17434
0.001,10.0,40.0,20.0,20.0,20836.17434
0.001,10.0,40.0,20.0,30.0,20836.17434
0.001,10.0,40.0,20.0,100.0,20836.17434
0.001,30.0,2.0,1.0,5.0,20433.53342
0.001,30.0,2.0,1.0,10.0,20435.48128
0.001,30.0,2.0,1.0,20.0,20435.6938
0.001,30.0,2.0,1.0,30.0,20435.345540000002
0.001,30.0,2.0,1.0,100.0,20435.63884
0.001,30.0,2.0,5.0,5.0,20433.529660000004
0.001,30.0,2.0,5.0,10.0,20423.08682
0.001,30.0,2.0,5.0,20.0,20423.08668
0.001,30.0,2.0,5.0,30.0,20423.08664
0.001,30.0,2.0,5.0,100.0,20423.08664
0.001,30.0,2.0,10.0,5.0,20433.74602
0.001,30.0,2.0,10.0,10.0,20426.023480000003
0.001,30.0,2.0,10.0,20.0,20426.0232
0.001,30.0,2.0,10.0,30.0,20426.0232
0.001,30.0,2.0,10.0,100.0,20426.0232
0.001,30.0,2.0,20.0,5.0,20434.68146
0.001,30.0,2.0,20.0,10.0,20434.682619999996
0.001,30.0,2.0,20.0,20.0,20434.682619999996
