N_neighbors,weights,algorithm,Leaf_size,P,MMRE-
2,uniform,auto,10,1,6.85072
2,uniform,auto,10,2,6.865900000000001
2,uniform,auto,20,1,6.846120000000001
2,uniform,auto,20,2,6.828799999999999
2,uniform,auto,30,1,6.846120000000001
2,uniform,auto,30,2,6.828799999999999
2,uniform,auto,40,1,6.78646
2,uniform,auto,40,2,6.806700000000001
2,uniform,auto,50,1,6.78646
2,uniform,auto,50,2,6.806700000000001
2,uniform,auto,100,1,6.665639999999999
2,uniform,auto,100,2,6.69074
2,uniform,ball_tree,10,1,6.77046
2,uniform,ball_tree,10,2,6.81814
2,uniform,ball_tree,20,1,6.83254
2,uniform,ball_tree,20,2,6.81528
2,uniform,ball_tree,30,1,6.83254
2,uniform,ball_tree,30,2,6.81528
2,uniform,ball_tree,40,1,6.77308
2,uniform,ball_tree,40,2,6.81382
2,uniform,ball_tree,50,1,6.77308
2,uniform,ball_tree,50,2,6.81382
2,uniform,ball_tree,100,1,6.677940000000001
2,uniform,ball_tree,100,2,6.696780000000001
2,uniform,kd_tree,10,1,6.85072
2,uniform,kd_tree,10,2,6.865900000000001
2,uniform,kd_tree,20,1,6.846120000000001
2,uniform,kd_tree,20,2,6.828799999999999
2,uniform,kd_tree,30,1,6.846120000000001
2,uniform,kd_tree,30,2,6.828799999999999
2,uniform,kd_tree,40,1,6.78646
2,uniform,kd_tree,40,2,6.806700000000001
2,uniform,kd_tree,50,1,6.78646
2,uniform,kd_tree,50,2,6.806700000000001
2,uniform,kd_tree,100,1,6.665639999999999
2,uniform,kd_tree,100,2,6.69074
2,uniform,brute,10,1,6.9135599999999995
2,uniform,brute,10,2,6.931900000000001
2,uniform,brute,20,1,6.9135599999999995
2,uniform,brute,20,2,6.931900000000001
2,uniform,brute,30,1,6.9135599999999995
2,uniform,brute,30,2,6.931900000000001
2,uniform,brute,40,1,6.9135599999999995
2,uniform,brute,40,2,6.931900000000001
2,uniform,brute,50,1,6.9135599999999995
2,uniform,brute,50,2,6.931900000000001
2,uniform,brute,100,1,6.9135599999999995
2,uniform,brute,100,2,6.931900000000001
2,distance,auto,10,1,6.841800000000001
2,distance,auto,10,2,6.8574
2,distance,auto,20,1,6.82896
2,distance,auto,20,2,6.821079999999999
2,distance,auto,30,1,6.82896
2,distance,auto,30,2,6.821079999999999
2,distance,auto,40,1,6.779120000000001
2,distance,auto,40,2,6.7963
2,distance,auto,50,1,6.779120000000001
2,distance,auto,50,2,6.7963
2,distance,auto,100,1,6.661079999999998
2,distance,auto,100,2,6.68318
2,distance,ball_tree,10,1,6.7559
2,distance,ball_tree,10,2,6.812139999999999
2,distance,ball_tree,20,1,6.810459999999999
2,distance,ball_tree,20,2,6.8098399999999994
2,distance,ball_tree,30,1,6.810459999999999
2,distance,ball_tree,30,2,6.8098399999999994
2,distance,ball_tree,40,1,6.769679999999999
2,distance,ball_tree,40,2,6.8041
2,distance,ball_tree,50,1,6.769679999999999
2,distance,ball_tree,50,2,6.8041
2,distance,ball_tree,100,1,6.67316
2,distance,ball_tree,100,2,6.69028
2,distance,kd_tree,10,1,6.841800000000001
2,distance,kd_tree,10,2,6.8574
2,distance,kd_tree,20,1,6.82896
2,distance,kd_tree,20,2,6.821079999999999
2,distance,kd_tree,30,1,6.82896
2,distance,kd_tree,30,2,6.821079999999999
2,distance,kd_tree,40,1,6.779120000000001
2,distance,kd_tree,40,2,6.7963
2,distance,kd_tree,50,1,6.779120000000001
2,distance,kd_tree,50,2,6.7963
2,distance,kd_tree,100,1,6.661079999999998
2,distance,kd_tree,100,2,6.68318
2,distance,brute,10,1,6.90536
2,distance,brute,10,2,6.923640000000001
2,distance,brute,20,1,6.90536
2,distance,brute,20,2,6.923640000000001
2,distance,brute,30,1,6.90536
2,distance,brute,30,2,6.923640000000001
2,distance,brute,40,1,6.90536
2,distance,brute,40,2,6.923640000000001
2,distance,brute,50,1,6.90536
2,distance,brute,50,2,6.923640000000001
2,distance,brute,100,1,6.90536
2,distance,brute,100,2,6.923640000000001
3,uniform,auto,10,1,6.175600000000001
3,uniform,auto,10,2,6.17722
3,uniform,auto,20,1,6.1433800000000005
3,uniform,auto,20,2,6.15928
3,uniform,auto,30,1,6.1433800000000005
3,uniform,auto,30,2,6.15928
3,uniform,auto,40,1,6.0729
3,uniform,auto,40,2,6.08432
3,uniform,auto,50,1,6.0729
3,uniform,auto,50,2,6.08432
3,uniform,auto,100,1,6.089240000000001
3,uniform,auto,100,2,6.12242
3,uniform,ball_tree,10,1,6.2068
3,uniform,ball_tree,10,2,6.208060000000001
3,uniform,ball_tree,20,1,6.172079999999999
3,uniform,ball_tree,20,2,6.1877
3,uniform,ball_tree,30,1,6.172079999999999
3,uniform,ball_tree,30,2,6.1877
3,uniform,ball_tree,40,1,6.13776
3,uniform,ball_tree,40,2,6.137700000000001
3,uniform,ball_tree,50,1,6.13776
3,uniform,ball_tree,50,2,6.137700000000001
3,uniform,ball_tree,100,1,6.1165199999999995
3,uniform,ball_tree,100,2,6.156440000000001
3,uniform,kd_tree,10,1,6.175600000000001
3,uniform,kd_tree,10,2,6.17722
3,uniform,kd_tree,20,1,6.1433800000000005
3,uniform,kd_tree,20,2,6.15928
3,uniform,kd_tree,30,1,6.1433800000000005
3,uniform,kd_tree,30,2,6.15928
3,uniform,kd_tree,40,1,6.0729
3,uniform,kd_tree,40,2,6.08432
3,uniform,kd_tree,50,1,6.0729
3,uniform,kd_tree,50,2,6.08432
3,uniform,kd_tree,100,1,6.089240000000001
3,uniform,kd_tree,100,2,6.12242
3,uniform,brute,10,1,6.037859999999999
3,uniform,brute,10,2,6.0507599999999995
3,uniform,brute,20,1,6.037859999999999
3,uniform,brute,20,2,6.0507599999999995
3,uniform,brute,30,1,6.037859999999999
3,uniform,brute,30,2,6.0507599999999995
3,uniform,brute,40,1,6.037859999999999
3,uniform,brute,40,2,6.0507599999999995
3,uniform,brute,50,1,6.037859999999999
3,uniform,brute,50,2,6.0507599999999995
3,uniform,brute,100,1,6.037859999999999
3,uniform,brute,100,2,6.0507599999999995
3,distance,auto,10,1,6.1242
3,distance,auto,10,2,6.140140000000001
3,distance,auto,20,1,6.09548
3,distance,auto,20,2,6.12366
3,distance,auto,30,1,6.09548
3,distance,auto,30,2,6.12366
3,distance,auto,40,1,6.034159999999999
3,distance,auto,40,2,6.05504
3,distance,auto,50,1,6.034159999999999
3,distance,auto,50,2,6.05504
3,distance,auto,100,1,6.061159999999999
3,distance,auto,100,2,6.09228
3,distance,ball_tree,10,1,6.148840000000001
3,distance,ball_tree,10,2,6.171460000000001
3,distance,ball_tree,20,1,6.12206
3,distance,ball_tree,20,2,6.1518999999999995
3,distance,ball_tree,30,1,6.12206
3,distance,ball_tree,30,2,6.1518999999999995
3,distance,ball_tree,40,1,6.0981
3,distance,ball_tree,40,2,6.113339999999999
3,distance,ball_tree,50,1,6.0981
3,distance,ball_tree,50,2,6.113339999999999
3,distance,ball_tree,100,1,6.09492
