n_neighbors,weights,algorithm,leaf_size,p,MMRE-
2,uniform,auto,10,1,20.84476
2,uniform,auto,10,2,20.74678
2,uniform,auto,20,1,20.77378
2,uniform,auto,20,2,20.663780000000003
2,uniform,auto,30,1,20.9133
2,uniform,auto,30,2,20.8207
2,uniform,auto,40,1,20.9133
2,uniform,auto,40,2,20.8207
2,uniform,auto,50,1,20.9133
2,uniform,auto,50,2,20.8207
2,uniform,auto,100,1,20.67298
2,uniform,auto,100,2,20.6145
2,uniform,ball_tree,10,1,20.84406
2,uniform,ball_tree,10,2,20.79144
2,uniform,ball_tree,20,1,20.83312
2,uniform,ball_tree,20,2,20.75472
2,uniform,ball_tree,30,1,20.894079999999995
2,uniform,ball_tree,30,2,20.82714
2,uniform,ball_tree,40,1,20.894079999999995
2,uniform,ball_tree,40,2,20.82714
2,uniform,ball_tree,50,1,20.894079999999995
2,uniform,ball_tree,50,2,20.82714
2,uniform,ball_tree,100,1,20.67678
2,uniform,ball_tree,100,2,20.615540000000003
2,uniform,kd_tree,10,1,20.84476
2,uniform,kd_tree,10,2,20.74678
2,uniform,kd_tree,20,1,20.77378
2,uniform,kd_tree,20,2,20.663780000000003
2,uniform,kd_tree,30,1,20.9133
2,uniform,kd_tree,30,2,20.8207
2,uniform,kd_tree,40,1,20.9133
2,uniform,kd_tree,40,2,20.8207
2,uniform,kd_tree,50,1,20.9133
2,uniform,kd_tree,50,2,20.8207
2,uniform,kd_tree,100,1,20.67298
2,uniform,kd_tree,100,2,20.6145
2,uniform,brute,10,1,20.9638
2,uniform,brute,10,2,21.689519999999998
2,uniform,brute,20,1,20.9638
2,uniform,brute,20,2,21.689519999999998
2,uniform,brute,30,1,20.9638
2,uniform,brute,30,2,21.689519999999998
2,uniform,brute,40,1,20.9638
2,uniform,brute,40,2,21.689519999999998
2,uniform,brute,50,1,20.9638
2,uniform,brute,50,2,21.689519999999998
2,uniform,brute,100,1,20.9638
2,uniform,brute,100,2,21.689519999999998
2,distance,auto,10,1,20.5808
2,distance,auto,10,2,20.546339999999997
2,distance,auto,20,1,20.50978
2,distance,auto,20,2,20.46482
2,distance,auto,30,1,20.67314
2,distance,auto,30,2,20.620259999999995
