n_neighbors,weights,algorithm,leaf_size,p,MMRE-
2,uniform,auto,10,1,8.949119999999999
2,uniform,auto,10,2,9.064300000000001
2,uniform,auto,20,1,8.949119999999999
2,uniform,auto,20,2,9.064300000000001
2,uniform,auto,30,1,8.949119999999999
2,uniform,auto,30,2,9.064300000000001
2,uniform,auto,40,1,8.94916
2,uniform,auto,40,2,9.06436
2,uniform,auto,50,1,8.94916
2,uniform,auto,50,2,9.06436
2,uniform,auto,100,1,8.94916
2,uniform,auto,100,2,9.06436
2,uniform,ball_tree,10,1,8.949119999999999
2,uniform,ball_tree,10,2,9.064300000000001
2,uniform,ball_tree,20,1,8.949119999999999
2,uniform,ball_tree,20,2,9.064300000000001
2,uniform,ball_tree,30,1,8.949119999999999
2,uniform,ball_tree,30,2,9.064300000000001
2,uniform,ball_tree,40,1,8.94916
2,uniform,ball_tree,40,2,9.06436
2,uniform,ball_tree,50,1,8.94916
2,uniform,ball_tree,50,2,9.06436
2,uniform,ball_tree,100,1,8.94916
2,uniform,ball_tree,100,2,9.06436
2,uniform,kd_tree,10,1,8.949119999999999
2,uniform,kd_tree,10,2,9.064300000000001
2,uniform,kd_tree,20,1,8.949119999999999
2,uniform,kd_tree,20,2,9.064300000000001
2,uniform,kd_tree,30,1,8.949119999999999
2,uniform,kd_tree,30,2,9.064300000000001
2,uniform,kd_tree,40,1,8.94916
2,uniform,kd_tree,40,2,9.06436
2,uniform,kd_tree,50,1,8.94916
2,uniform,kd_tree,50,2,9.06436
2,uniform,kd_tree,100,1,8.94916
2,uniform,kd_tree,100,2,9.06436
2,uniform,brute,10,1,8.949099999999998
2,uniform,brute,10,2,9.064300000000001
2,uniform,brute,20,1,8.949099999999998
2,uniform,brute,20,2,9.064300000000001
2,uniform,brute,30,1,8.949099999999998
2,uniform,brute,30,2,9.064300000000001
2,uniform,brute,40,1,8.949099999999998
2,uniform,brute,40,2,9.064300000000001
2,uniform,brute,50,1,8.949099999999998
2,uniform,brute,50,2,9.064300000000001
2,uniform,brute,100,1,8.949099999999998
2,uniform,brute,100,2,9.064300000000001
2,distance,auto,10,1,7.83622
2,distance,auto,10,2,7.9643999999999995
2,distance,auto,20,1,7.83622
2,distance,auto,20,2,7.9643999999999995
2,distance,auto,30,1,7.83622
2,distance,auto,30,2,7.9643999999999995
2,distance,auto,40,1,7.83626
2,distance,auto,40,2,7.964440000000001
2,distance,auto,50,1,7.83626
2,distance,auto,50,2,7.964440000000001
2,distance,auto,100,1,7.83626
2,distance,auto,100,2,7.964440000000001
2,distance,ball_tree,10,1,7.83622
2,distance,ball_tree,10,2,7.9643999999999995
2,distance,ball_tree,20,1,7.83622
2,distance,ball_tree,20,2,7.9643999999999995
2,distance,ball_tree,30,1,7.83622
2,distance,ball_tree,30,2,7.9643999999999995
2,distance,ball_tree,40,1,7.83626
2,distance,ball_tree,40,2,7.964440000000001
2,distance,ball_tree,50,1,7.83626
2,distance,ball_tree,50,2,7.964440000000001
2,distance,ball_tree,100,1,7.83626
2,distance,ball_tree,100,2,7.964440000000001
2,distance,kd_tree,10,1,7.83622
2,distance,kd_tree,10,2,7.9643999999999995
2,distance,kd_tree,20,1,7.83622
2,distance,kd_tree,20,2,7.9643999999999995
2,distance,kd_tree,30,1,7.83622
2,distance,kd_tree,30,2,7.9643999999999995
2,distance,kd_tree,40,1,7.83626
2,distance,kd_tree,40,2,7.964440000000001
2,distance,kd_tree,50,1,7.83626
2,distance,kd_tree,50,2,7.964440000000001
2,distance,kd_tree,100,1,7.83626
2,distance,kd_tree,100,2,7.964440000000001
2,distance,brute,10,1,7.836180000000001
2,distance,brute,10,2,7.9643999999999995
2,distance,brute,20,1,7.836180000000001
2,distance,brute,20,2,7.9643999999999995
2,distance,brute,30,1,7.836180000000001
2,distance,brute,30,2,7.9643999999999995
2,distance,brute,40,1,7.836180000000001
2,distance,brute,40,2,7.9643999999999995
2,distance,brute,50,1,7.836180000000001
2,distance,brute,50,2,7.9643999999999995
2,distance,brute,100,1,7.836180000000001
2,distance,brute,100,2,7.9643999999999995
3,uniform,auto,10,1,8.9866
3,uniform,auto,10,2,9.022479999999998
3,uniform,auto,20,1,8.98654
3,uniform,auto,20,2,9.02246
3,uniform,auto,30,1,8.98654
3,uniform,auto,30,2,9.02246
3,uniform,auto,40,1,8.986619999999998
3,uniform,auto,40,2,9.02258
3,uniform,auto,50,1,8.986619999999998
3,uniform,auto,50,2,9.02258
3,uniform,auto,100,1,8.98666
3,uniform,auto,100,2,9.022540000000001
3,uniform,ball_tree,10,1,8.98662
3,uniform,ball_tree,10,2,9.022479999999998
3,uniform,ball_tree,20,1,8.98654
3,uniform,ball_tree,20,2,9.02246
3,uniform,ball_tree,30,1,8.98654
3,uniform,ball_tree,30,2,9.02246
3,uniform,ball_tree,40,1,8.98666
3,uniform,ball_tree,40,2,9.0226
3,uniform,ball_tree,50,1,8.98666
3,uniform,ball_tree,50,2,9.0226
3,uniform,ball_tree,100,1,8.986619999999998
3,uniform,ball_tree,100,2,9.0226
3,uniform,kd_tree,10,1,8.9866
3,uniform,kd_tree,10,2,9.022479999999998
3,uniform,kd_tree,20,1,8.98654
3,uniform,kd_tree,20,2,9.02246
3,uniform,kd_tree,30,1,8.98654
3,uniform,kd_tree,30,2,9.02246
3,uniform,kd_tree,40,1,8.986619999999998
3,uniform,kd_tree,40,2,9.02258
3,uniform,kd_tree,50,1,8.986619999999998
3,uniform,kd_tree,50,2,9.02258
3,uniform,kd_tree,100,1,8.98666
3,uniform,kd_tree,100,2,9.022540000000001
3,uniform,brute,10,1,8.9866
3,uniform,brute,10,2,9.02242
3,uniform,brute,20,1,8.9866
3,uniform,brute,20,2,9.02242
3,uniform,brute,30,1,8.9866
3,uniform,brute,30,2,9.02242
3,uniform,brute,40,1,8.9866
3,uniform,brute,40,2,9.02242
3,uniform,brute,50,1,8.9866
3,uniform,brute,50,2,9.02242
3,uniform,brute,100,1,8.9866
3,uniform,brute,100,2,9.02242
3,distance,auto,10,1,7.484440000000001
3,distance,auto,10,2,7.573779999999999
3,distance,auto,20,1,7.48438
3,distance,auto,20,2,7.57372
3,distance,auto,30,1,7.48438
3,distance,auto,30,2,7.57372
3,distance,auto,40,1,7.48446
3,distance,auto,40,2,7.57382
3,distance,auto,50,1,7.48446
3,distance,auto,50,2,7.57382
3,distance,auto,100,1,7.4845
3,distance,auto,100,2,7.573779999999999
3,distance,ball_tree,10,1,7.484460000000001
3,distance,ball_tree,10,2,7.573779999999999
3,distance,ball_tree,20,1,7.48438
3,distance,ball_tree,20,2,7.57372
3,distance,ball_tree,30,1,7.48438
3,distance,ball_tree,30,2,7.57372
3,distance,ball_tree,40,1,7.4845
3,distance,ball_tree,40,2,7.57384
3,distance,ball_tree,50,1,7.4845
3,distance,ball_tree,50,2,7.57384
3,distance,ball_tree,100,1,7.48446
3,distance,ball_tree,100,2,7.57384
3,distance,kd_tree,10,1,7.484440000000001
3,distance,kd_tree,10,2,7.573779999999999
3,distance,kd_tree,20,1,7.48438
3,distance,kd_tree,20,2,7.57372
3,distance,kd_tree,30,1,7.48438
3,distance,kd_tree,30,2,7.57372
3,distance,kd_tree,40,1,7.48446
3,distance,kd_tree,40,2,7.57382
3,distance,kd_tree,50,1,7.48446
3,distance,kd_tree,50,2,7.57382
3,distance,kd_tree,100,1,7.4845
3,distance,kd_tree,100,2,7.573779999999999
3,distance,brute,10,1,7.484440000000001
3,distance,brute,10,2,7.57372
3,distance,brute,20,1,7.484440000000001
3,distance,brute,20,2,7.57372
3,distance,brute,30,1,7.484440000000001
3,distance,brute,30,2,7.57372
3,distance,brute,40,1,7.484440000000001
3,distance,brute,40,2,7.57372
3,distance,brute,50,1,7.484440000000001
3,distance,brute,50,2,7.57372
3,distance,brute,100,1,7.484440000000001
3,distance,brute,100,2,7.57372
5,uniform,auto,10,1,9.0242
5,uniform,auto,10,2,9.226760000000002
5,uniform,auto,20,1,9.02422
5,uniform,auto,20,2,9.22678
5,uniform,auto,30,1,9.02422
5,uniform,auto,30,2,9.22678
5,uniform,auto,40,1,9.02418
5,uniform,auto,40,2,9.22672
5,uniform,auto,50,1,9.02418
5,uniform,auto,50,2,9.22672
5,uniform,auto,100,1,9.02418
5,uniform,auto,100,2,9.226740000000001
5,uniform,ball_tree,10,1,9.0242
5,uniform,ball_tree,10,2,9.226760000000002
5,uniform,ball_tree,20,1,9.02422
5,uniform,ball_tree,20,2,9.226740000000001
5,uniform,ball_tree,30,1,9.02422
5,uniform,ball_tree,30,2,9.226740000000001
5,uniform,ball_tree,40,1,9.02418
5,uniform,ball_tree,40,2,9.226679999999998
5,uniform,ball_tree,50,1,9.02418
5,uniform,ball_tree,50,2,9.226679999999998
5,uniform,ball_tree,100,1,9.02418
5,uniform,ball_tree,100,2,9.2267
