n_neighbors,weights,algorithm,leaf_size,p,MMRE-
2,uniform,auto,10,1,217.15214
2,uniform,auto,10,2,200.66002
2,uniform,auto,20,1,217.15214
2,uniform,auto,20,2,200.66002
2,uniform,auto,30,1,217.15214
2,uniform,auto,30,2,200.66002
2,uniform,auto,40,1,217.15214
2,uniform,auto,40,2,200.66002
2,uniform,auto,50,1,217.15214
2,uniform,auto,50,2,200.66002
2,uniform,auto,100,1,217.15214
2,uniform,auto,100,2,200.66002
2,uniform,ball_tree,10,1,217.15214
2,uniform,ball_tree,10,2,200.66002
2,uniform,ball_tree,20,1,217.15214
2,uniform,ball_tree,20,2,200.66002
2,uniform,ball_tree,30,1,217.15214
2,uniform,ball_tree,30,2,200.66002
2,uniform,ball_tree,40,1,217.15214
2,uniform,ball_tree,40,2,200.66002
2,uniform,ball_tree,50,1,217.15214
2,uniform,ball_tree,50,2,200.66002
2,uniform,ball_tree,100,1,217.15214
2,uniform,ball_tree,100,2,200.66002
2,uniform,kd_tree,10,1,217.15214
2,uniform,kd_tree,10,2,200.66002
2,uniform,kd_tree,20,1,217.15214
2,uniform,kd_tree,20,2,200.66002
2,uniform,kd_tree,30,1,217.15214
2,uniform,kd_tree,30,2,200.66002
2,uniform,kd_tree,40,1,217.15214
2,uniform,kd_tree,40,2,200.66002
2,uniform,kd_tree,50,1,217.15214
2,uniform,kd_tree,50,2,200.66002
2,uniform,kd_tree,100,1,217.15214
2,uniform,kd_tree,100,2,200.66002
2,uniform,brute,10,1,217.15214
2,uniform,brute,10,2,200.66002
2,uniform,brute,20,1,217.15214
2,uniform,brute,20,2,200.66002
2,uniform,brute,30,1,217.15214
2,uniform,brute,30,2,200.66002
2,uniform,brute,40,1,217.15214
2,uniform,brute,40,2,200.66002
2,uniform,brute,50,1,217.15214
2,uniform,brute,50,2,200.66002
2,uniform,brute,100,1,217.15214
2,uniform,brute,100,2,200.66002
2,distance,auto,10,1,213.58596000000003
2,distance,auto,10,2,200.60667999999998
2,distance,auto,20,1,213.58596000000003
2,distance,auto,20,2,200.60667999999998
2,distance,auto,30,1,213.58596000000003
2,distance,auto,30,2,200.60667999999998
2,distance,auto,40,1,213.58596000000003
2,distance,auto,40,2,200.60667999999998
2,distance,auto,50,1,213.58596000000003
2,distance,auto,50,2,200.60667999999998
2,distance,auto,100,1,213.58596000000003
2,distance,auto,100,2,200.60667999999998
2,distance,ball_tree,10,1,213.58596000000003
2,distance,ball_tree,10,2,200.60667999999998
2,distance,ball_tree,20,1,213.58596000000003
2,distance,ball_tree,20,2,200.60667999999998
2,distance,ball_tree,30,1,213.58596000000003
2,distance,ball_tree,30,2,200.60667999999998
2,distance,ball_tree,40,1,213.58596000000003
2,distance,ball_tree,40,2,200.60667999999998
2,distance,ball_tree,50,1,213.58596000000003
2,distance,ball_tree,50,2,200.60667999999998
2,distance,ball_tree,100,1,213.58596000000003
2,distance,ball_tree,100,2,200.60667999999998
2,distance,kd_tree,10,1,213.58596000000003
