Alpha,fit_intercept,copy_X,Max_iter,Tol,MMRE-
0.001,True,True,500,1e-05,131.13281999999998
0.001,True,True,500,0.0001,131.13281999999998
0.001,True,True,500,0.001,131.13281999999998
0.001,True,True,500,0.01,131.13281999999998
0.001,True,True,500,0.1,131.13278
0.001,True,True,1000,1e-05,131.13281999999998
0.001,True,True,1000,0.0001,131.13281999999998
0.001,True,True,1000,0.001,131.13281999999998
0.001,True,True,1000,0.01,131.13281999999998
0.001,True,True,1000,0.1,131.13278
0.001,True,True,2000,1e-05,131.13281999999998
0.001,True,True,2000,0.0001,131.13281999999998
0.001,True,True,2000,0.001,131.13281999999998
0.001,True,True,2000,0.01,131.13281999999998
0.001,True,True,2000,0.1,131.13278
0.001,True,True,5000,1e-05,131.13281999999998
0.001,True,True,5000,0.0001,131.13281999999998
0.001,True,True,5000,0.001,131.13281999999998
0.001,True,True,5000,0.01,131.13281999999998
0.001,True,True,5000,0.1,131.13278
0.001,True,True,15000,1e-05,131.13281999999998
0.001,True,True,15000,0.0001,131.13281999999998
0.001,True,True,15000,0.001,131.13281999999998
0.001,True,True,15000,0.01,131.13281999999998
0.001,True,True,15000,0.1,131.13278
0.001,True,True,20000,1e-05,131.13281999999998
0.001,True,True,20000,0.0001,131.13281999999998
0.001,True,True,20000,0.001,131.13281999999998
0.001,True,True,20000,0.01,131.13281999999998
0.001,True,True,20000,0.1,131.13278
0.001,True,False,500,1e-05,131.13281999999998
0.001,True,False,500,0.0001,131.13281999999998
0.001,True,False,500,0.001,131.13281999999998
0.001,True,False,500,0.01,131.13281999999998
0.001,True,False,500,0.1,131.13278
0.001,True,False,1000,1e-05,131.13281999999998
0.001,True,False,1000,0.0001,131.13281999999998
0.001,True,False,1000,0.001,131.13281999999998
0.001,True,False,1000,0.01,131.13281999999998
0.001,True,False,1000,0.1,131.13278
0.001,True,False,2000,1e-05,131.13281999999998
0.001,True,False,2000,0.0001,131.13281999999998
0.001,True,False,2000,0.001,131.13281999999998
0.001,True,False,2000,0.01,131.13281999999998
0.001,True,False,2000,0.1,131.13278
0.001,True,False,5000,1e-05,131.13281999999998
0.001,True,False,5000,0.0001,131.13281999999998
0.001,True,False,5000,0.001,131.13281999999998
0.001,True,False,5000,0.01,131.13281999999998
0.001,True,False,5000,0.1,131.13278
0.001,True,False,15000,1e-05,131.13281999999998
0.001,True,False,15000,0.0001,131.13281999999998
0.001,True,False,15000,0.001,131.13281999999998
0.001,True,False,15000,0.01,131.13281999999998
0.001,True,False,15000,0.1,131.13278
0.001,True,False,20000,1e-05,131.13281999999998
0.001,True,False,20000,0.0001,131.13281999999998
0.001,True,False,20000,0.001,131.13281999999998
0.001,True,False,20000,0.01,131.13281999999998
0.001,True,False,20000,0.1,131.13278
0.001,False,True,500,1e-05,134.94426
0.001,False,True,500,0.0001,134.94426
0.001,False,True,500,0.001,134.94426
0.001,False,True,500,0.01,134.94426
0.001,False,True,500,0.1,140.53428
0.001,False,True,1000,1e-05,134.94426
0.001,False,True,1000,0.0001,134.94426
0.001,False,True,1000,0.001,134.94426
0.001,False,True,1000,0.01,134.94426
0.001,False,True,1000,0.1,140.53428
0.001,False,True,2000,1e-05,134.94426
0.001,False,True,2000,0.0001,134.94426
0.001,False,True,2000,0.001,134.94426
0.001,False,True,2000,0.01,134.94426
0.001,False,True,2000,0.1,140.53428
0.001,False,True,5000,1e-05,134.94426
0.001,False,True,5000,0.0001,134.94426
0.001,False,True,5000,0.001,134.94426
0.001,False,True,5000,0.01,134.94426
0.001,False,True,5000,0.1,140.53428
0.001,False,True,15000,1e-05,134.94426
0.001,False,True,15000,0.0001,134.94426
0.001,False,True,15000,0.001,134.94426
0.001,False,True,15000,0.01,134.94426
0.001,False,True,15000,0.1,140.53428
0.001,False,True,20000,1e-05,134.94426
0.001,False,True,20000,0.0001,134.94426
0.001,False,True,20000,0.001,134.94426
0.001,False,True,20000,0.01,134.94426
0.001,False,True,20000,0.1,140.53428
0.001,False,False,500,1e-05,134.94426
0.001,False,False,500,0.0001,134.94426
0.001,False,False,500,0.001,134.94426
0.001,False,False,500,0.01,134.94426
0.001,False,False,500,0.1,140.53428
0.001,False,False,1000,1e-05,134.94426
0.001,False,False,1000,0.0001,134.94426
0.001,False,False,1000,0.001,134.94426
0.001,False,False,1000,0.01,134.94426
0.001,False,False,1000,0.1,140.53428
0.001,False,False,2000,1e-05,134.94426
0.001,False,False,2000,0.0001,134.94426
0.001,False,False,2000,0.001,134.94426
0.001,False,False,2000,0.01,134.94426
0.001,False,False,2000,0.1,140.53428
0.001,False,False,5000,1e-05,134.94426
0.001,False,False,5000,0.0001,134.94426
0.001,False,False,5000,0.001,134.94426
0.001,False,False,5000,0.01,134.94426
0.001,False,False,5000,0.1,140.53428
0.001,False,False,15000,1e-05,134.94426
0.001,False,False,15000,0.0001,134.94426
0.001,False,False,15000,0.001,134.94426
0.001,False,False,15000,0.01,134.94426
0.001,False,False,15000,0.1,140.53428
0.001,False,False,20000,1e-05,134.94426
0.001,False,False,20000,0.0001,134.94426
0.001,False,False,20000,0.001,134.94426
0.001,False,False,20000,0.01,134.94426
0.001,False,False,20000,0.1,140.53428
0.01,True,True,500,1e-05,131.13227999999998
0.01,True,True,500,0.0001,131.13227999999998
0.01,True,True,500,0.001,131.13227999999998
0.01,True,True,500,0.01,131.13227999999998
0.01,True,True,500,0.1,131.13226
0.01,True,True,1000,1e-05,131.13227999999998
0.01,True,True,1000,0.0001,131.13227999999998
0.01,True,True,1000,0.001,131.13227999999998
0.01,True,True,1000,0.01,131.13227999999998
