alpha,fit_intercept,copy_X,max_iter,tol,MMRE-
0.001,True,True,500,1e-05,13.815119999999999
0.001,True,True,500,0.0001,13.815119999999999
0.001,True,True,500,0.001,13.815119999999999
0.001,True,True,500,0.01,13.815119999999999
0.001,True,True,500,0.1,13.815180000000002
0.001,True,True,1000,1e-05,13.815119999999999
0.001,True,True,1000,0.0001,13.815119999999999
0.001,True,True,1000,0.001,13.815119999999999
0.001,True,True,1000,0.01,13.815119999999999
0.001,True,True,1000,0.1,13.815180000000002
0.001,True,True,2000,1e-05,13.815119999999999
0.001,True,True,2000,0.0001,13.815119999999999
0.001,True,True,2000,0.001,13.815119999999999
0.001,True,True,2000,0.01,13.815119999999999
0.001,True,True,2000,0.1,13.815180000000002
0.001,True,True,5000,1e-05,13.815119999999999
0.001,True,True,5000,0.0001,13.815119999999999
0.001,True,True,5000,0.001,13.815119999999999
0.001,True,True,5000,0.01,13.815119999999999
0.001,True,True,5000,0.1,13.815180000000002
0.001,True,True,15000,1e-05,13.815119999999999
0.001,True,True,15000,0.0001,13.815119999999999
0.001,True,True,15000,0.001,13.815119999999999
0.001,True,True,15000,0.01,13.815119999999999
0.001,True,True,15000,0.1,13.815180000000002
0.001,True,True,20000,1e-05,13.815119999999999
0.001,True,True,20000,0.0001,13.815119999999999
0.001,True,True,20000,0.001,13.815119999999999
0.001,True,True,20000,0.01,13.815119999999999
0.001,True,True,20000,0.1,13.815180000000002
0.001,True,False,500,1e-05,13.815119999999999
0.001,True,False,500,0.0001,13.815119999999999
0.001,True,False,500,0.001,13.815119999999999
0.001,True,False,500,0.01,13.815119999999999
0.001,True,False,500,0.1,13.815180000000002
0.001,True,False,1000,1e-05,13.815119999999999
0.001,True,False,1000,0.0001,13.815119999999999
0.001,True,False,1000,0.001,13.815119999999999
0.001,True,False,1000,0.01,13.815119999999999
0.001,True,False,1000,0.1,13.815180000000002
0.001,True,False,2000,1e-05,13.815119999999999
0.001,True,False,2000,0.0001,13.815119999999999
0.001,True,False,2000,0.001,13.815119999999999
0.001,True,False,2000,0.01,13.815119999999999
0.001,True,False,2000,0.1,13.815180000000002
0.001,True,False,5000,1e-05,13.815119999999999
0.001,True,False,5000,0.0001,13.815119999999999
0.001,True,False,5000,0.001,13.815119999999999
0.001,True,False,5000,0.01,13.815119999999999
0.001,True,False,5000,0.1,13.815180000000002
0.001,True,False,15000,1e-05,13.815119999999999
0.001,True,False,15000,0.0001,13.815119999999999
0.001,True,False,15000,0.001,13.815119999999999
0.001,True,False,15000,0.01,13.815119999999999
