alpha,fit_intercept,copy_X,max_iter,tol,MMRE-
0.001,True,True,500,1e-05,49.7907
0.001,True,True,500,0.0001,49.79068
0.001,True,True,500,0.001,49.79074000000001
0.001,True,True,500,0.01,49.7907
0.001,True,True,500,0.1,49.79084
0.001,True,True,1000,1e-05,49.7907
0.001,True,True,1000,0.0001,49.79068
0.001,True,True,1000,0.001,49.79074000000001
0.001,True,True,1000,0.01,49.7907
0.001,True,True,1000,0.1,49.79084
0.001,True,True,2000,1e-05,49.7907
0.001,True,True,2000,0.0001,49.79068
0.001,True,True,2000,0.001,49.79074000000001
0.001,True,True,2000,0.01,49.7907
0.001,True,True,2000,0.1,49.79084
0.001,True,True,5000,1e-05,49.7907
0.001,True,True,5000,0.0001,49.79068
0.001,True,True,5000,0.001,49.79074000000001
0.001,True,True,5000,0.01,49.7907
0.001,True,True,5000,0.1,49.79084
0.001,True,True,15000,1e-05,49.7907
0.001,True,True,15000,0.0001,49.79068
0.001,True,True,15000,0.001,49.79074000000001
0.001,True,True,15000,0.01,49.7907
0.001,True,True,15000,0.1,49.79084
0.001,True,True,20000,1e-05,49.7907
0.001,True,True,20000,0.0001,49.79068
0.001,True,True,20000,0.001,49.79074000000001
0.001,True,True,20000,0.01,49.7907
0.001,True,True,20000,0.1,49.79084
0.001,True,False,500,1e-05,49.7907
0.001,True,False,500,0.0001,49.79068
0.001,True,False,500,0.001,49.79074000000001
0.001,True,False,500,0.01,49.7907
0.001,True,False,500,0.1,49.79084
0.001,True,False,1000,1e-05,49.7907
0.001,True,False,1000,0.0001,49.79068
0.001,True,False,1000,0.001,49.79074000000001
0.001,True,False,1000,0.01,49.7907
0.001,True,False,1000,0.1,49.79084
0.001,True,False,2000,1e-05,49.7907
0.001,True,False,2000,0.0001,49.79068
0.001,True,False,2000,0.001,49.79074000000001
0.001,True,False,2000,0.01,49.7907
0.001,True,False,2000,0.1,49.79084
0.001,True,False,5000,1e-05,49.7907
0.001,True,False,5000,0.0001,49.79068
0.001,True,False,5000,0.001,49.79074000000001
0.001,True,False,5000,0.01,49.7907
0.001,True,False,5000,0.1,49.79084
0.001,True,False,15000,1e-05,49.7907
0.001,True,False,15000,0.0001,49.79068
0.001,True,False,15000,0.001,49.79074000000001
0.001,True,False,15000,0.01,49.7907
0.001,True,False,15000,0.1,49.79084
0.001,True,False,20000,1e-05,49.7907
0.001,True,False,20000,0.0001,49.79068
0.001,True,False,20000,0.001,49.79074000000001
0.001,True,False,20000,0.01,49.7907
0.001,True,False,20000,0.1,49.79084
0.001,False,True,500,1e-05,51.754239999999996
0.001,False,True,500,0.0001,51.75428000000001
0.001,False,True,500,0.001,51.75449999999999
0.001,False,True,500,0.01,62.08824
0.001,False,True,500,0.1,160.12256000000002
0.001,False,True,1000,1e-05,51.754239999999996
0.001,False,True,1000,0.0001,51.75428000000001
0.001,False,True,1000,0.001,51.75449999999999
0.001,False,True,1000,0.01,62.08824
0.001,False,True,1000,0.1,160.12256000000002
0.001,False,True,2000,1e-05,51.754239999999996
0.001,False,True,2000,0.0001,51.75428000000001
0.001,False,True,2000,0.001,51.75449999999999
0.001,False,True,2000,0.01,62.08824
0.001,False,True,2000,0.1,160.12256000000002
0.001,False,True,5000,1e-05,51.754239999999996
0.001,False,True,5000,0.0001,51.75428000000001
0.001,False,True,5000,0.001,51.75449999999999
0.001,False,True,5000,0.01,62.08824
0.001,False,True,5000,0.1,160.12256000000002
0.001,False,True,15000,1e-05,51.754239999999996
0.001,False,True,15000,0.0001,51.75428000000001
0.001,False,True,15000,0.001,51.75449999999999
0.001,False,True,15000,0.01,62.08824
0.001,False,True,15000,0.1,160.12256000000002
0.001,False,True,20000,1e-05,51.754239999999996
0.001,False,True,20000,0.0001,51.75428000000001
0.001,False,True,20000,0.001,51.75449999999999
0.001,False,True,20000,0.01,62.08824
0.001,False,True,20000,0.1,160.12256000000002
0.001,False,False,500,1e-05,51.754239999999996
0.001,False,False,500,0.0001,51.75428000000001
0.001,False,False,500,0.001,51.75449999999999
0.001,False,False,500,0.01,62.08824
0.001,False,False,500,0.1,160.12256000000002
0.001,False,False,1000,1e-05,51.754239999999996
0.001,False,False,1000,0.0001,51.75428000000001
0.001,False,False,1000,0.001,51.75449999999999
0.001,False,False,1000,0.01,62.08824
0.001,False,False,1000,0.1,160.12256000000002
0.001,False,False,2000,1e-05,51.754239999999996
0.001,False,False,2000,0.0001,51.75428000000001
0.001,False,False,2000,0.001,51.75449999999999
0.001,False,False,2000,0.01,62.08824
0.001,False,False,2000,0.1,160.12256000000002
0.001,False,False,5000,1e-05,51.754239999999996
0.001,False,False,5000,0.0001,51.75428000000001
0.001,False,False,5000,0.001,51.75449999999999
0.001,False,False,5000,0.01,62.08824
0.001,False,False,5000,0.1,160.12256000000002
0.001,False,False,15000,1e-05,51.754239999999996
0.001,False,False,15000,0.0001,51.75428000000001
0.001,False,False,15000,0.001,51.75449999999999
0.001,False,False,15000,0.01,62.08824
0.001,False,False,15000,0.1,160.12256000000002
0.001,False,False,20000,1e-05,51.754239999999996
0.001,False,False,20000,0.0001,51.75428000000001
0.001,False,False,20000,0.001,51.75449999999999
0.001,False,False,20000,0.01,62.08824
0.001,False,False,20000,0.1,160.12256000000002
0.01,True,True,500,1e-05,99.83793999999999
0.01,True,True,500,0.0001,99.83795999999998
0.01,True,True,500,0.001,99.83796
0.01,True,True,500,0.01,99.84062
0.01,True,True,500,0.1,99.8562
0.01,True,True,1000,1e-05,99.83793999999999
0.01,True,True,1000,0.0001,99.83795999999998
0.01,True,True,1000,0.001,99.83796
0.01,True,True,1000,0.01,99.84062
0.01,True,True,1000,0.1,99.8562
0.01,True,True,2000,1e-05,99.83793999999999
0.01,True,True,2000,0.0001,99.83795999999998
0.01,True,True,2000,0.001,99.83796
