N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,5,2,1,50,0,7.338
10,5,2,1,50,0.1,9.264
10,5,2,1,50,0.2,9.73
10,5,2,1,50,0.3,10.412
10,5,2,1,sqrt,0,7.69
10,5,2,1,sqrt,0.1,9.916
10,5,2,1,sqrt,0.2,10.11
10,5,2,1,sqrt,0.3,10.41
10,5,2,1,log2,0,7.722
10,5,2,1,log2,0.1,9.924
10,5,2,1,log2,0.2,10.216
10,5,2,1,log2,0.3,10.414
10,5,2,5,50,0,7.288
10,5,2,5,50,0.1,9.28
10,5,2,5,50,0.2,9.834
10,5,2,5,50,0.3,10.396
10,5,2,5,sqrt,0,7.592
10,5,2,5,sqrt,0.1,9.94
10,5,2,5,sqrt,0.2,10.146
10,5,2,5,sqrt,0.3,10.402
10,5,2,5,log2,0,7.65
10,5,2,5,log2,0.1,9.964
10,5,2,5,log2,0.2,10.086
10,5,2,5,log2,0.3,10.406
10,5,2,10,50,0,7.348
10,5,2,10,50,0.1,9.282
10,5,2,10,50,0.2,9.82
10,5,2,10,50,0.3,10.408
10,5,2,10,sqrt,0,7.71
10,5,2,10,sqrt,0.1,9.914
10,5,2,10,sqrt,0.2,10.186
10,5,2,10,sqrt,0.3,10.402
10,5,2,10,log2,0,7.698
10,5,2,10,log2,0.1,9.926
10,5,2,10,log2,0.2,10.194
10,5,2,10,log2,0.3,10.402
10,5,2,20,50,0,7.436
10,5,2,20,50,0.1,9.25
10,5,2,20,50,0.2,9.736
10,5,2,20,50,0.3,10.41
10,5,2,20,sqrt,0,7.724
10,5,2,20,sqrt,0.1,9.928
10,5,2,20,sqrt,0.2,10.246
10,5,2,20,sqrt,0.3,10.402
10,5,2,20,log2,0,7.86
10,5,2,20,log2,0.1,9.87
10,5,2,20,log2,0.2,10.292
10,5,2,20,log2,0.3,10.406
10,5,6,1,50,0,7.286
10,5,6,1,50,0.1,9.258
10,5,6,1,50,0.2,9.7
10,5,6,1,50,0.3,10.404
10,5,6,1,sqrt,0,7.682
10,5,6,1,sqrt,0.1,9.95
10,5,6,1,sqrt,0.2,10.118
10,5,6,1,sqrt,0.3,10.406
10,5,6,1,log2,0,7.65
10,5,6,1,log2,0.1,9.7
10,5,6,1,log2,0.2,10.356
10,5,6,1,log2,0.3,10.408
10,5,6,5,50,0,7.262
10,5,6,5,50,0.1,9.28
10,5,6,5,50,0.2,9.866
10,5,6,5,50,0.3,10.414
10,5,6,5,sqrt,0,7.712
10,5,6,5,sqrt,0.1,9.866
10,5,6,5,sqrt,0.2,10.2
10,5,6,5,sqrt,0.3,10.41
10,5,6,5,log2,0,7.712
10,5,6,5,log2,0.1,9.892
10,5,6,5,log2,0.2,10.236
10,5,6,5,log2,0.3,10.422
10,5,6,10,50,0,7.346
10,5,6,10,50,0.1,9.258
10,5,6,10,50,0.2,9.846
10,5,6,10,50,0.3,10.408
10,5,6,10,sqrt,0,7.714
10,5,6,10,sqrt,0.1,9.924
10,5,6,10,sqrt,0.2,10.24
10,5,6,10,sqrt,0.3,10.418
10,5,6,10,log2,0,7.714
10,5,6,10,log2,0.1,10.01
10,5,6,10,log2,0.2,10.118
10,5,6,10,log2,0.3,10.4
10,5,6,20,50,0,7.42
10,5,6,20,50,0.1,9.29
10,5,6,20,50,0.2,9.602
10,5,6,20,50,0.3,10.396
10,5,6,20,sqrt,0,7.75
10,5,6,20,sqrt,0.1,9.886
10,5,6,20,sqrt,0.2,10.146
10,5,6,20,sqrt,0.3,10.412
10,5,6,20,log2,0,7.856
10,5,6,20,log2,0.1,9.862
10,5,6,20,log2,0.2,10.094
10,5,6,20,log2,0.3,10.412
10,5,10,1,50,0,7.346
10,5,10,1,50,0.1,9.282
10,5,10,1,50,0.2,9.638
10,5,10,1,50,0.3,10.41
10,5,10,1,sqrt,0,7.754
10,5,10,1,sqrt,0.1,9.942
10,5,10,1,sqrt,0.2,10.214
10,5,10,1,sqrt,0.3,10.408
10,5,10,1,log2,0,7.686
10,5,10,1,log2,0.1,9.858
10,5,10,1,log2,0.2,10.2
10,5,10,1,log2,0.3,10.406
10,5,10,5,50,0,7.296
10,5,10,5,50,0.1,9.256
10,5,10,5,50,0.2,9.63
10,5,10,5,50,0.3,10.414
10,5,10,5,sqrt,0,7.786
10,5,10,5,sqrt,0.1,9.818
10,5,10,5,sqrt,0.2,10.352
10,5,10,5,sqrt,0.3,10.396
10,5,10,5,log2,0,7.7
10,5,10,5,log2,0.1,9.782
10,5,10,5,log2,0.2,9.944
10,5,10,5,log2,0.3,10.416
10,5,10,10,50,0,7.35
10,5,10,10,50,0.1,9.272
10,5,10,10,50,0.2,9.69
10,5,10,10,50,0.3,10.398
10,5,10,10,sqrt,0,7.758
10,5,10,10,sqrt,0.1,10.052
10,5,10,10,sqrt,0.2,10.35
10,5,10,10,sqrt,0.3,10.41
10,5,10,10,log2,0,7.728
10,5,10,10,log2,0.1,9.844
10,5,10,10,log2,0.2,10.212
10,5,10,10,log2,0.3,10.412
10,5,10,20,50,0,7.336
10,5,10,20,50,0.1,9.256
10,5,10,20,50,0.2,9.772
10,5,10,20,50,0.3,10.408
10,5,10,20,sqrt,0,7.756
10,5,10,20,sqrt,0.1,9.986
10,5,10,20,sqrt,0.2,10.246
10,5,10,20,sqrt,0.3,10.416
10,5,10,20,log2,0,7.772
10,5,10,20,log2,0.1,9.912
10,5,10,20,log2,0.2,10.154
10,5,10,20,log2,0.3,10.402
10,5,20,1,50,0,7.396
10,5,20,1,50,0.1,9.276
10,5,20,1,50,0.2,9.68
10,5,20,1,50,0.3,10.406
10,5,20,1,sqrt,0,7.742
10,5,20,1,sqrt,0.1,9.818
10,5,20,1,sqrt,0.2,10.258
10,5,20,1,sqrt,0.3,10.416
10,5,20,1,log2,0,7.712
10,5,20,1,log2,0.1,9.98
10,5,20,1,log2,0.2,10.196
10,5,20,1,log2,0.3,10.412
10,5,20,5,50,0,7.262
10,5,20,5,50,0.1,9.25
10,5,20,5,50,0.2,9.82
10,5,20,5,50,0.3,10.41
10,5,20,5,sqrt,0,7.698
