n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,MMRE-
10,5,2,1,50,0.0,109.70912000000001
10,5,2,1,50,0.1,110.1878
10,5,2,1,50,0.2,110.05947999999998
10,5,2,1,50,0.3,111.55634
10,5,2,1,sqrt,0.0,259.42668
10,5,2,1,sqrt,0.1,223.84762
10,5,2,1,sqrt,0.2,240.29970000000003
10,5,2,1,sqrt,0.3,234.45296
10,5,2,1,log2,0.0,235.0909
10,5,2,1,log2,0.1,230.63094
10,5,2,1,log2,0.2,245.60873999999998
10,5,2,1,log2,0.3,226.99283999999997
10,5,2,5,50,0.0,108.93838000000001
10,5,2,5,50,0.1,110.44739999999999
10,5,2,5,50,0.2,106.9482
10,5,2,5,50,0.3,104.705
10,5,2,5,sqrt,0.0,251.38948
10,5,2,5,sqrt,0.1,230.75626000000003
10,5,2,5,sqrt,0.2,239.1234
10,5,2,5,sqrt,0.3,226.27550000000002
10,5,2,5,log2,0.0,261.06008
10,5,2,5,log2,0.1,231.87870000000004
10,5,2,5,log2,0.2,232.46714000000003
10,5,2,5,log2,0.3,245.45272
10,5,2,10,50,0.0,108.50254
10,5,2,10,50,0.1,107.34962
10,5,2,10,50,0.2,110.89685999999999
10,5,2,10,50,0.3,113.36871999999998
10,5,2,10,sqrt,0.0,255.99295999999998
10,5,2,10,sqrt,0.1,235.77885999999998
10,5,2,10,sqrt,0.2,228.71657999999996
10,5,2,10,sqrt,0.3,229.50349999999997
10,5,2,10,log2,0.0,242.86482
10,5,2,10,log2,0.1,257.63734
10,5,2,10,log2,0.2,258.56062000000003
10,5,2,10,log2,0.3,219.52782000000002
10,5,2,20,50,0.0,121.02846
10,5,2,20,50,0.1,117.66224
10,5,2,20,50,0.2,117.38376000000001
10,5,2,20,50,0.3,124.32788000000001
10,5,2,20,sqrt,0.0,255.84322000000003
10,5,2,20,sqrt,0.1,251.60052000000002
10,5,2,20,sqrt,0.2,264.01887999999997
10,5,2,20,sqrt,0.3,255.92946
10,5,2,20,log2,0.0,256.60715999999996
10,5,2,20,log2,0.1,244.53164
10,5,2,20,log2,0.2,246.34256
10,5,2,20,log2,0.3,253.50057999999999
10,5,6,1,50,0.0,114.33368
10,5,6,1,50,0.1,104.98312000000001
10,5,6,1,50,0.2,111.51163999999999
10,5,6,1,50,0.3,110.32626
10,5,6,1,sqrt,0.0,236.03938
10,5,6,1,sqrt,0.1,245.40722000000005
10,5,6,1,sqrt,0.2,208.20806
10,5,6,1,sqrt,0.3,250.17138
10,5,6,1,log2,0.0,217.58054
10,5,6,1,log2,0.1,226.91318
10,5,6,1,log2,0.2,228.08517999999998
10,5,6,1,log2,0.3,232.96994
10,5,6,5,50,0.0,113.63322000000001
10,5,6,5,50,0.1,112.24261999999999
10,5,6,5,50,0.2,112.24776
10,5,6,5,50,0.3,107.11008
10,5,6,5,sqrt,0.0,223.97587999999996
10,5,6,5,sqrt,0.1,232.51632
10,5,6,5,sqrt,0.2,223.06782000000004
10,5,6,5,sqrt,0.3,244.3813
10,5,6,5,log2,0.0,220.99372
10,5,6,5,log2,0.1,227.98856
10,5,6,5,log2,0.2,222.57902000000004
