alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,True,5000,0.0001,auto,131.13288
0.001,True,True,5000,0.0001,svd,131.13288
0.001,True,True,5000,0.0001,cholesky,131.13288
0.001,True,True,5000,0.0001,lsqr,105.46226000000001
0.001,True,True,5000,0.0001,sparse_cg,105.46226000000001
0.001,True,True,5000,0.0001,sag,105.36354000000001
0.001,True,True,5000,0.0001,saga,105.41159999999999
0.001,True,True,5000,0.001,auto,131.13288
0.001,True,True,5000,0.001,svd,131.13288
0.001,True,True,5000,0.001,cholesky,131.13288
0.001,True,True,5000,0.001,lsqr,105.46226000000001
0.001,True,True,5000,0.001,sparse_cg,105.46226000000001
0.001,True,True,5000,0.001,sag,104.29711999999999
0.001,True,True,5000,0.001,saga,105.43530000000001
0.001,True,True,5000,0.01,auto,131.13288
0.001,True,True,5000,0.01,svd,131.13288
0.001,True,True,5000,0.01,cholesky,131.13288
0.001,True,True,5000,0.01,lsqr,105.46226000000001
0.001,True,True,5000,0.01,sparse_cg,105.46226000000001
0.001,True,True,5000,0.01,sag,111.33232000000001
0.001,True,True,5000,0.01,saga,105.15493999999998
0.001,True,True,5000,0.1,auto,131.13288
0.001,True,True,5000,0.1,svd,131.13288
0.001,True,True,5000,0.1,cholesky,131.13288
0.001,True,True,5000,0.1,lsqr,105.46226000000001
0.001,True,True,5000,0.1,sparse_cg,105.46226000000001
0.001,True,True,5000,0.1,sag,131.38994
0.001,True,True,5000,0.1,saga,108.12660000000001
0.001,True,True,15000,0.0001,auto,131.13288
0.001,True,True,15000,0.0001,svd,131.13288
0.001,True,True,15000,0.0001,cholesky,131.13288
0.001,True,True,15000,0.0001,lsqr,105.46226000000001
0.001,True,True,15000,0.0001,sparse_cg,105.46226000000001
0.001,True,True,15000,0.0001,sag,105.2811
0.001,True,True,15000,0.0001,saga,105.36392000000001
0.001,True,True,15000,0.001,auto,131.13288
0.001,True,True,15000,0.001,svd,131.13288
0.001,True,True,15000,0.001,cholesky,131.13288
0.001,True,True,15000,0.001,lsqr,105.46226000000001
0.001,True,True,15000,0.001,sparse_cg,105.46226000000001
0.001,True,True,15000,0.001,sag,105.2118
0.001,True,True,15000,0.001,saga,105.33166000000001
0.001,True,True,15000,0.01,auto,131.13288
0.001,True,True,15000,0.01,svd,131.13288
0.001,True,True,15000,0.01,cholesky,131.13288
0.001,True,True,15000,0.01,lsqr,105.46226000000001
0.001,True,True,15000,0.01,sparse_cg,105.46226000000001
0.001,True,True,15000,0.01,sag,106.64127999999998
0.001,True,True,15000,0.01,saga,106.6762
0.001,True,True,15000,0.1,auto,131.13288
0.001,True,True,15000,0.1,svd,131.13288
0.001,True,True,15000,0.1,cholesky,131.13288
0.001,True,True,15000,0.1,lsqr,105.46226000000001
0.001,True,True,15000,0.1,sparse_cg,105.46226000000001
0.001,True,True,15000,0.1,sag,184.63382
0.001,True,True,15000,0.1,saga,119.05498
0.001,True,True,20000,0.0001,auto,131.13288
0.001,True,True,20000,0.0001,svd,131.13288
0.001,True,True,20000,0.0001,cholesky,131.13288
0.001,True,True,20000,0.0001,lsqr,105.46226000000001
0.001,True,True,20000,0.0001,sparse_cg,105.46226000000001
0.001,True,True,20000,0.0001,sag,105.28116
0.001,True,True,20000,0.0001,saga,105.36392000000001
0.001,True,True,20000,0.001,auto,131.13288
0.001,True,True,20000,0.001,svd,131.13288
0.001,True,True,20000,0.001,cholesky,131.13288
0.001,True,True,20000,0.001,lsqr,105.46226000000001
0.001,True,True,20000,0.001,sparse_cg,105.46226000000001
0.001,True,True,20000,0.001,sag,130.67306000000002
0.001,True,True,20000,0.001,saga,112.04646
0.001,True,True,20000,0.01,auto,131.13288
0.001,True,True,20000,0.01,svd,131.13288
0.001,True,True,20000,0.01,cholesky,131.13288
0.001,True,True,20000,0.01,lsqr,105.46226000000001
0.001,True,True,20000,0.01,sparse_cg,105.46226000000001
0.001,True,True,20000,0.01,sag,112.05573999999999
0.001,True,True,20000,0.01,saga,103.83696
0.001,True,True,20000,0.1,auto,131.13288
0.001,True,True,20000,0.1,svd,131.13288
0.001,True,True,20000,0.1,cholesky,131.13288
0.001,True,True,20000,0.1,lsqr,105.46226000000001
0.001,True,True,20000,0.1,sparse_cg,105.46226000000001
0.001,True,True,20000,0.1,sag,173.31572
0.001,True,True,20000,0.1,saga,109.0651
0.001,True,True,50000,0.0001,auto,131.13288
0.001,True,True,50000,0.0001,svd,131.13288
0.001,True,True,50000,0.0001,cholesky,131.13288
0.001,True,True,50000,0.0001,lsqr,105.46226000000001
0.001,True,True,50000,0.0001,sparse_cg,105.46226000000001
0.001,True,True,50000,0.0001,sag,105.2811
0.001,True,True,50000,0.0001,saga,105.36390000000002
0.001,True,True,50000,0.001,auto,131.13288
0.001,True,True,50000,0.001,svd,131.13288
