alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,True,5000,0.0001,auto,13.815199999999999
0.001,True,True,5000,0.0001,svd,13.815199999999999
0.001,True,True,5000,0.0001,cholesky,13.815199999999999
0.001,True,True,5000,0.0001,lsqr,35.81928
0.001,True,True,5000,0.0001,sparse_cg,35.81928
0.001,True,True,5000,0.0001,sag,35.819300000000005
0.001,True,True,5000,0.0001,saga,35.81928
0.001,True,True,5000,0.001,auto,13.815199999999999
0.001,True,True,5000,0.001,svd,13.815199999999999
0.001,True,True,5000,0.001,cholesky,13.815199999999999
0.001,True,True,5000,0.001,lsqr,35.81928
0.001,True,True,5000,0.001,sparse_cg,35.81928
0.001,True,True,5000,0.001,sag,35.81928
0.001,True,True,5000,0.001,saga,35.81926
0.001,True,True,5000,0.01,auto,13.815199999999999
0.001,True,True,5000,0.01,svd,13.815199999999999
0.001,True,True,5000,0.01,cholesky,13.815199999999999
0.001,True,True,5000,0.01,lsqr,35.81928
0.001,True,True,5000,0.01,sparse_cg,35.81928
0.001,True,True,5000,0.01,sag,35.81422
0.001,True,True,5000,0.01,saga,35.820260000000005
0.001,True,True,5000,0.1,auto,13.815199999999999
0.001,True,True,5000,0.1,svd,13.815199999999999
0.001,True,True,5000,0.1,cholesky,13.815199999999999
0.001,True,True,5000,0.1,lsqr,35.81928
0.001,True,True,5000,0.1,sparse_cg,35.81928
0.001,True,True,5000,0.1,sag,36.009479999999996
0.001,True,True,5000,0.1,saga,35.78942
0.001,True,True,15000,0.0001,auto,13.815199999999999
0.001,True,True,15000,0.0001,svd,13.815199999999999
0.001,True,True,15000,0.0001,cholesky,13.815199999999999
0.001,True,True,15000,0.0001,lsqr,35.81928
0.001,True,True,15000,0.0001,sparse_cg,35.81928
0.001,True,True,15000,0.0001,sag,35.819300000000005
0.001,True,True,15000,0.0001,saga,35.819300000000005
0.001,True,True,15000,0.001,auto,13.815199999999999
0.001,True,True,15000,0.001,svd,13.815199999999999
0.001,True,True,15000,0.001,cholesky,13.815199999999999
0.001,True,True,15000,0.001,lsqr,35.81928
0.001,True,True,15000,0.001,sparse_cg,35.81928
0.001,True,True,15000,0.001,sag,35.81926
0.001,True,True,15000,0.001,saga,35.81928
0.001,True,True,15000,0.01,auto,13.815199999999999
0.001,True,True,15000,0.01,svd,13.815199999999999
0.001,True,True,15000,0.01,cholesky,13.815199999999999
0.001,True,True,15000,0.01,lsqr,35.81928
0.001,True,True,15000,0.01,sparse_cg,35.81928
0.001,True,True,15000,0.01,sag,35.82264
0.001,True,True,15000,0.01,saga,35.82082
0.001,True,True,15000,0.1,auto,13.815199999999999
0.001,True,True,15000,0.1,svd,13.815199999999999
0.001,True,True,15000,0.1,cholesky,13.815199999999999
0.001,True,True,15000,0.1,lsqr,35.81928
0.001,True,True,15000,0.1,sparse_cg,35.81928
0.001,True,True,15000,0.1,sag,37.69622
0.001,True,True,15000,0.1,saga,35.81688
0.001,True,True,20000,0.0001,auto,13.815199999999999
0.001,True,True,20000,0.0001,svd,13.815199999999999
0.001,True,True,20000,0.0001,cholesky,13.815199999999999
0.001,True,True,20000,0.0001,lsqr,35.81928
0.001,True,True,20000,0.0001,sparse_cg,35.81928
0.001,True,True,20000,0.0001,sag,35.819300000000005
0.001,True,True,20000,0.0001,saga,35.819300000000005
0.001,True,True,20000,0.001,auto,13.815199999999999
0.001,True,True,20000,0.001,svd,13.815199999999999
0.001,True,True,20000,0.001,cholesky,13.815199999999999
0.001,True,True,20000,0.001,lsqr,35.81928
0.001,True,True,20000,0.001,sparse_cg,35.81928
0.001,True,True,20000,0.001,sag,35.81928
0.001,True,True,20000,0.001,saga,35.81926
0.001,True,True,20000,0.01,auto,13.815199999999999
0.001,True,True,20000,0.01,svd,13.815199999999999
0.001,True,True,20000,0.01,cholesky,13.815199999999999
0.001,True,True,20000,0.01,lsqr,35.81928
0.001,True,True,20000,0.01,sparse_cg,35.81928
0.001,True,True,20000,0.01,sag,35.82198
0.001,True,True,20000,0.01,saga,35.81923999999999
0.001,True,True,20000,0.1,auto,13.815199999999999
0.001,True,True,20000,0.1,svd,13.815199999999999
0.001,True,True,20000,0.1,cholesky,13.815199999999999
0.001,True,True,20000,0.1,lsqr,35.81928
0.001,True,True,20000,0.1,sparse_cg,35.81928
0.001,True,True,20000,0.1,sag,36.74532
0.001,True,True,20000,0.1,saga,35.82072
0.001,True,True,50000,0.0001,auto,13.815199999999999
0.001,True,True,50000,0.0001,svd,13.815199999999999
0.001,True,True,50000,0.0001,cholesky,13.815199999999999
0.001,True,True,50000,0.0001,lsqr,35.81928
0.001,True,True,50000,0.0001,sparse_cg,35.81928
0.001,True,True,50000,0.0001,sag,35.819300000000005
0.001,True,True,50000,0.0001,saga,35.819300000000005
0.001,True,True,50000,0.001,auto,13.815199999999999
0.001,True,True,50000,0.001,svd,13.815199999999999
0.001,True,True,50000,0.001,cholesky,13.815199999999999
0.001,True,True,50000,0.001,lsqr,35.81928
0.001,True,True,50000,0.001,sparse_cg,35.81928
0.001,True,True,50000,0.001,sag,35.819300000000005
0.001,True,True,50000,0.001,saga,35.81926
