alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,True,5000,0.0001,auto,7.41156
0.001,True,True,5000,0.0001,svd,7.41156
0.001,True,True,5000,0.0001,cholesky,7.41156
0.001,True,True,5000,0.0001,lsqr,8.6475
0.001,True,True,5000,0.0001,sparse_cg,7.854199999999999
0.001,True,True,5000,0.0001,sag,8.7873
0.001,True,True,5000,0.0001,saga,8.88044
0.001,True,True,5000,0.001,auto,7.41156
0.001,True,True,5000,0.001,svd,7.41156
0.001,True,True,5000,0.001,cholesky,7.41156
0.001,True,True,5000,0.001,lsqr,8.886840000000001
0.001,True,True,5000,0.001,sparse_cg,8.673779999999999
0.001,True,True,5000,0.001,sag,9.161240000000001
0.001,True,True,5000,0.001,saga,9.32782
0.001,True,True,5000,0.01,auto,7.41156
0.001,True,True,5000,0.01,svd,7.41156
0.001,True,True,5000,0.01,cholesky,7.41156
0.001,True,True,5000,0.01,lsqr,9.768360000000001
0.001,True,True,5000,0.01,sparse_cg,8.97126
0.001,True,True,5000,0.01,sag,9.59944
0.001,True,True,5000,0.01,saga,9.657779999999999
0.001,True,True,5000,0.1,auto,7.41156
0.001,True,True,5000,0.1,svd,7.41156
0.001,True,True,5000,0.1,cholesky,7.41156
0.001,True,True,5000,0.1,lsqr,9.9298
0.001,True,True,5000,0.1,sparse_cg,9.782700000000002
0.001,True,True,5000,0.1,sag,9.71618
0.001,True,True,5000,0.1,saga,9.75958
0.001,True,True,15000,0.0001,auto,7.41156
0.001,True,True,15000,0.0001,svd,7.41156
0.001,True,True,15000,0.0001,cholesky,7.41156
0.001,True,True,15000,0.0001,lsqr,8.6475
0.001,True,True,15000,0.0001,sparse_cg,7.854199999999999
0.001,True,True,15000,0.0001,sag,8.768400000000002
0.001,True,True,15000,0.0001,saga,8.860560000000001
0.001,True,True,15000,0.001,auto,7.41156
0.001,True,True,15000,0.001,svd,7.41156
0.001,True,True,15000,0.001,cholesky,7.41156
0.001,True,True,15000,0.001,lsqr,8.886840000000001
0.001,True,True,15000,0.001,sparse_cg,8.673779999999999
0.001,True,True,15000,0.001,sag,9.1613
0.001,True,True,15000,0.001,saga,9.32778
0.001,True,True,15000,0.01,auto,7.41156
0.001,True,True,15000,0.01,svd,7.41156
0.001,True,True,15000,0.01,cholesky,7.41156
0.001,True,True,15000,0.01,lsqr,9.768360000000001
0.001,True,True,15000,0.01,sparse_cg,8.97126
0.001,True,True,15000,0.01,sag,9.59936
0.001,True,True,15000,0.01,saga,9.65788
0.001,True,True,15000,0.1,auto,7.41156
0.001,True,True,15000,0.1,svd,7.41156
0.001,True,True,15000,0.1,cholesky,7.41156
0.001,True,True,15000,0.1,lsqr,9.9298
0.001,True,True,15000,0.1,sparse_cg,9.782700000000002
0.001,True,True,15000,0.1,sag,9.738980000000002
0.001,True,True,15000,0.1,saga,9.75704
0.001,True,True,20000,0.0001,auto,7.41156
0.001,True,True,20000,0.0001,svd,7.41156
0.001,True,True,20000,0.0001,cholesky,7.41156
0.001,True,True,20000,0.0001,lsqr,8.6475
0.001,True,True,20000,0.0001,sparse_cg,7.854199999999999
0.001,True,True,20000,0.0001,sag,8.76838
0.001,True,True,20000,0.0001,saga,8.860579999999999
0.001,True,True,20000,0.001,auto,7.41156
0.001,True,True,20000,0.001,svd,7.41156
0.001,True,True,20000,0.001,cholesky,7.41156
0.001,True,True,20000,0.001,lsqr,8.886840000000001
0.001,True,True,20000,0.001,sparse_cg,8.673779999999999
0.001,True,True,20000,0.001,sag,9.16122
0.001,True,True,20000,0.001,saga,9.32776
0.001,True,True,20000,0.01,auto,7.41156
0.001,True,True,20000,0.01,svd,7.41156
0.001,True,True,20000,0.01,cholesky,7.41156
0.001,True,True,20000,0.01,lsqr,9.768360000000001
0.001,True,True,20000,0.01,sparse_cg,8.97126
0.001,True,True,20000,0.01,sag,9.5994
0.001,True,True,20000,0.01,saga,9.657900000000001
0.001,True,True,20000,0.1,auto,7.41156
0.001,True,True,20000,0.1,svd,7.41156
0.001,True,True,20000,0.1,cholesky,7.41156
0.001,True,True,20000,0.1,lsqr,9.9298
0.001,True,True,20000,0.1,sparse_cg,9.782700000000002
0.001,True,True,20000,0.1,sag,9.7318
0.001,True,True,20000,0.1,saga,9.75652
0.001,True,True,50000,0.0001,auto,7.41156
0.001,True,True,50000,0.0001,svd,7.41156
0.001,True,True,50000,0.0001,cholesky,7.41156
0.001,True,True,50000,0.0001,lsqr,8.6475
0.001,True,True,50000,0.0001,sparse_cg,7.854199999999999
0.001,True,True,50000,0.0001,sag,8.7684
0.001,True,True,50000,0.0001,saga,8.860579999999999
0.001,True,True,50000,0.001,auto,7.41156
0.001,True,True,50000,0.001,svd,7.41156
0.001,True,True,50000,0.001,cholesky,7.41156
0.001,True,True,50000,0.001,lsqr,8.886840000000001
0.001,True,True,50000,0.001,sparse_cg,8.673779999999999
0.001,True,True,50000,0.001,sag,9.16114
0.001,True,True,50000,0.001,saga,9.32778
0.001,True,True,50000,0.01,auto,7.41156
0.001,True,True,50000,0.01,svd,7.41156
0.001,True,True,50000,0.01,cholesky,7.41156
0.001,True,True,50000,0.01,lsqr,9.768360000000001
0.001,True,True,50000,0.01,sparse_cg,8.97126
0.001,True,True,50000,0.01,sag,9.59914
0.001,True,True,50000,0.01,saga,9.657800000000002
0.001,True,True,50000,0.1,auto,7.41156
0.001,True,True,50000,0.1,svd,7.41156
0.001,True,True,50000,0.1,cholesky,7.41156
0.001,True,True,50000,0.1,lsqr,9.9298
0.001,True,True,50000,0.1,sparse_cg,9.782700000000002
0.001,True,True,50000,0.1,sag,9.7237
0.001,True,True,50000,0.1,saga,9.75506
0.001,True,False,5000,0.0001,auto,7.41156
0.001,True,False,5000,0.0001,svd,7.41156
0.001,True,False,5000,0.0001,cholesky,7.41156
0.001,True,False,5000,0.0001,lsqr,8.6475
0.001,True,False,5000,0.0001,sparse_cg,7.854199999999999
0.001,True,False,5000,0.0001,sag,8.7873
0.001,True,False,5000,0.0001,saga,8.88044
0.001,True,False,5000,0.001,auto,7.41156
0.001,True,False,5000,0.001,svd,7.41156
0.001,True,False,5000,0.001,cholesky,7.41156
0.001,True,False,5000,0.001,lsqr,8.886840000000001
0.001,True,False,5000,0.001,sparse_cg,8.673779999999999
0.001,True,False,5000,0.001,sag,9.161220000000002
0.001,True,False,5000,0.001,saga,9.3278
0.001,True,False,5000,0.01,auto,7.41156
0.001,True,False,5000,0.01,svd,7.41156
0.001,True,False,5000,0.01,cholesky,7.41156
0.001,True,False,5000,0.01,lsqr,9.768360000000001
0.001,True,False,5000,0.01,sparse_cg,8.97126
0.001,True,False,5000,0.01,sag,9.5995
0.001,True,False,5000,0.01,saga,9.65814
0.001,True,False,5000,0.1,auto,7.41156
0.001,True,False,5000,0.1,svd,7.41156
0.001,True,False,5000,0.1,cholesky,7.41156
0.001,True,False,5000,0.1,lsqr,9.9298
0.001,True,False,5000,0.1,sparse_cg,9.782700000000002
0.001,True,False,5000,0.1,sag,9.74446
0.001,True,False,5000,0.1,saga,9.75218
0.001,True,False,15000,0.0001,auto,7.41156
0.001,True,False,15000,0.0001,svd,7.41156
0.001,True,False,15000,0.0001,cholesky,7.41156
0.001,True,False,15000,0.0001,lsqr,8.6475
