alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,True,5000,0.0001,auto,12352.09694
0.001,True,True,5000,0.0001,svd,12352.09694
0.001,True,True,5000,0.0001,cholesky,12352.09694
0.001,True,True,5000,0.0001,lsqr,12351.761159999998
0.001,True,True,5000,0.0001,sparse_cg,12351.761159999998
0.001,True,True,5000,0.0001,sag,12353.95626
0.001,True,True,5000,0.0001,saga,12351.08038
0.001,True,True,5000,0.001,auto,12352.09694
0.001,True,True,5000,0.001,svd,12352.09694
0.001,True,True,5000,0.001,cholesky,12352.09694
0.001,True,True,5000,0.001,lsqr,12355.638
0.001,True,True,5000,0.001,sparse_cg,12355.638
0.001,True,True,5000,0.001,sag,12343.281079999999
0.001,True,True,5000,0.001,saga,12358.51214
0.001,True,True,5000,0.01,auto,12352.09694
0.001,True,True,5000,0.01,svd,12352.09694
0.001,True,True,5000,0.01,cholesky,12352.09694
0.001,True,True,5000,0.01,lsqr,12344.2634
0.001,True,True,5000,0.01,sparse_cg,12343.5996
0.001,True,True,5000,0.01,sag,12455.3929
0.001,True,True,5000,0.01,saga,12319.28758
0.001,True,True,5000,0.1,auto,12352.09694
0.001,True,True,5000,0.1,svd,12352.09694
0.001,True,True,5000,0.1,cholesky,12352.09694
0.001,True,True,5000,0.1,lsqr,12342.69906
0.001,True,True,5000,0.1,sparse_cg,11193.717139999999
0.001,True,True,5000,0.1,sag,10788.18898
0.001,True,True,5000,0.1,saga,12392.2617
0.001,True,True,15000,0.0001,auto,12352.09694
0.001,True,True,15000,0.0001,svd,12352.09694
0.001,True,True,15000,0.0001,cholesky,12352.09694
0.001,True,True,15000,0.0001,lsqr,12351.761159999998
0.001,True,True,15000,0.0001,sparse_cg,12351.761159999998
0.001,True,True,15000,0.0001,sag,12353.552119999998
0.001,True,True,15000,0.0001,saga,12349.16872
0.001,True,True,15000,0.001,auto,12352.09694
0.001,True,True,15000,0.001,svd,12352.09694
0.001,True,True,15000,0.001,cholesky,12352.09694
0.001,True,True,15000,0.001,lsqr,12355.638
0.001,True,True,15000,0.001,sparse_cg,12355.638
0.001,True,True,15000,0.001,sag,12366.379640000001
0.001,True,True,15000,0.001,saga,12351.06608
0.001,True,True,15000,0.01,auto,12352.09694
0.001,True,True,15000,0.01,svd,12352.09694
0.001,True,True,15000,0.01,cholesky,12352.09694
0.001,True,True,15000,0.01,lsqr,12344.2634
0.001,True,True,15000,0.01,sparse_cg,12343.5996
0.001,True,True,15000,0.01,sag,12319.20774
0.001,True,True,15000,0.01,saga,12372.85534
0.001,True,True,15000,0.1,auto,12352.09694
0.001,True,True,15000,0.1,svd,12352.09694
0.001,True,True,15000,0.1,cholesky,12352.09694
0.001,True,True,15000,0.1,lsqr,12342.69906
0.001,True,True,15000,0.1,sparse_cg,11193.717139999999
0.001,True,True,15000,0.1,sag,11726.5508
0.001,True,True,15000,0.1,saga,11769.44786
0.001,True,True,20000,0.0001,auto,12352.09694
0.001,True,True,20000,0.0001,svd,12352.09694
0.001,True,True,20000,0.0001,cholesky,12352.09694
0.001,True,True,20000,0.0001,lsqr,12351.761159999998
0.001,True,True,20000,0.0001,sparse_cg,12351.761159999998
0.001,True,True,20000,0.0001,sag,12355.846780000002
0.001,True,True,20000,0.0001,saga,12351.062619999999
0.001,True,True,20000,0.001,auto,12352.09694
0.001,True,True,20000,0.001,svd,12352.09694
0.001,True,True,20000,0.001,cholesky,12352.09694
0.001,True,True,20000,0.001,lsqr,12355.638
0.001,True,True,20000,0.001,sparse_cg,12355.638
0.001,True,True,20000,0.001,sag,12333.96262
0.001,True,True,20000,0.001,saga,12338.76832
0.001,True,True,20000,0.01,auto,12352.09694
0.001,True,True,20000,0.01,svd,12352.09694
0.001,True,True,20000,0.01,cholesky,12352.09694
0.001,True,True,20000,0.01,lsqr,12344.2634
0.001,True,True,20000,0.01,sparse_cg,12343.5996
0.001,True,True,20000,0.01,sag,12676.990759999999
0.001,True,True,20000,0.01,saga,12498.32558
0.001,True,True,20000,0.1,auto,12352.09694
0.001,True,True,20000,0.1,svd,12352.09694
0.001,True,True,20000,0.1,cholesky,12352.09694
0.001,True,True,20000,0.1,lsqr,12342.69906
0.001,True,True,20000,0.1,sparse_cg,11193.717139999999
0.001,True,True,20000,0.1,sag,8616.1015
0.001,True,True,20000,0.1,saga,10968.425619999998
0.001,True,True,50000,0.0001,auto,12352.09694
0.001,True,True,50000,0.0001,svd,12352.09694
0.001,True,True,50000,0.0001,cholesky,12352.09694
0.001,True,True,50000,0.0001,lsqr,12351.761159999998
0.001,True,True,50000,0.0001,sparse_cg,12351.761159999998
0.001,True,True,50000,0.0001,sag,12350.730019999999
0.001,True,True,50000,0.0001,saga,12353.26748
0.001,True,True,50000,0.001,auto,12352.09694
0.001,True,True,50000,0.001,svd,12352.09694
0.001,True,True,50000,0.001,cholesky,12352.09694
0.001,True,True,50000,0.001,lsqr,12355.638
0.001,True,True,50000,0.001,sparse_cg,12355.638
0.001,True,True,50000,0.001,sag,12337.90094
0.001,True,True,50000,0.001,saga,12352.831
0.001,True,True,50000,0.01,auto,12352.09694
0.001,True,True,50000,0.01,svd,12352.09694
0.001,True,True,50000,0.01,cholesky,12352.09694
0.001,True,True,50000,0.01,lsqr,12344.2634
0.001,True,True,50000,0.01,sparse_cg,12343.5996
0.001,True,True,50000,0.01,sag,12288.485340000001
0.001,True,True,50000,0.01,saga,12441.22776
0.001,True,True,50000,0.1,auto,12352.09694
0.001,True,True,50000,0.1,svd,12352.09694
0.001,True,True,50000,0.1,cholesky,12352.09694
0.001,True,True,50000,0.1,lsqr,12342.69906
0.001,True,True,50000,0.1,sparse_cg,11193.717139999999
0.001,True,True,50000,0.1,sag,9810.55918
0.001,True,True,50000,0.1,saga,13429.69736
0.001,True,False,5000,0.0001,auto,12352.09694
0.001,True,False,5000,0.0001,svd,12352.09694
0.001,True,False,5000,0.0001,cholesky,12352.09694
0.001,True,False,5000,0.0001,lsqr,12351.761159999998
0.001,True,False,5000,0.0001,sparse_cg,12351.761159999998
0.001,True,False,5000,0.0001,sag,12353.85842
0.001,True,False,5000,0.0001,saga,12351.98928
0.001,True,False,5000,0.001,auto,12352.09694
0.001,True,False,5000,0.001,svd,12352.09694
0.001,True,False,5000,0.001,cholesky,12352.09694
0.001,True,False,5000,0.001,lsqr,12355.638
0.001,True,False,5000,0.001,sparse_cg,12355.638
0.001,True,False,5000,0.001,sag,12387.31872
0.001,True,False,5000,0.001,saga,12360.655600000002
0.001,True,False,5000,0.01,auto,12352.09694
0.001,True,False,5000,0.01,svd,12352.09694
0.001,True,False,5000,0.01,cholesky,12352.09694
0.001,True,False,5000,0.01,lsqr,12344.2634
0.001,True,False,5000,0.01,sparse_cg,12343.5996
0.001,True,False,5000,0.01,sag,12492.6299
0.001,True,False,5000,0.01,saga,12494.02886
0.001,True,False,5000,0.1,auto,12352.09694
0.001,True,False,5000,0.1,svd,12352.09694
0.001,True,False,5000,0.1,cholesky,12352.09694
0.001,True,False,5000,0.1,lsqr,12342.69906
0.001,True,False,5000,0.1,sparse_cg,11193.717139999999
0.001,True,False,5000,0.1,sag,10562.44
