Alpha,fit_intercept,copy_X,Max_iter,Tol,solver,MMRE-
0.001,True,True,5000,0.0001,auto,147.43225999999999
0.001,True,True,5000,0.0001,svd,147.43225999999999
0.001,True,True,5000,0.0001,cholesky,147.43225999999999
0.001,True,True,5000,0.0001,lsqr,147.43022000000002
0.001,True,True,5000,0.0001,sparse_cg,147.43022000000002
0.001,True,True,5000,0.0001,sag,147.44042000000002
0.001,True,True,5000,0.0001,saga,147.43370000000002
0.001,True,True,5000,0.001,auto,147.43225999999999
0.001,True,True,5000,0.001,svd,147.43225999999999
0.001,True,True,5000,0.001,cholesky,147.43225999999999
0.001,True,True,5000,0.001,lsqr,147.44986
0.001,True,True,5000,0.001,sparse_cg,147.44986
0.001,True,True,5000,0.001,sag,147.45116000000002
0.001,True,True,5000,0.001,saga,147.39308
0.001,True,True,5000,0.01,auto,147.43225999999999
0.001,True,True,5000,0.01,svd,147.43225999999999
0.001,True,True,5000,0.01,cholesky,147.43225999999999
0.001,True,True,5000,0.01,lsqr,147.21318
0.001,True,True,5000,0.01,sparse_cg,147.16642
0.001,True,True,5000,0.01,sag,146.50751999999997
0.001,True,True,5000,0.01,saga,147.50606
0.001,True,True,5000,0.1,auto,147.43225999999999
0.001,True,True,5000,0.1,svd,147.43225999999999
0.001,True,True,5000,0.1,cholesky,147.43225999999999
0.001,True,True,5000,0.1,lsqr,146.76680000000002
0.001,True,True,5000,0.1,sparse_cg,148.351
0.001,True,True,5000,0.1,sag,160.35666
0.001,True,True,5000,0.1,saga,152.36154000000002
0.001,True,True,15000,0.0001,auto,147.43225999999999
0.001,True,True,15000,0.0001,svd,147.43225999999999
0.001,True,True,15000,0.0001,cholesky,147.43225999999999
0.001,True,True,15000,0.0001,lsqr,147.43022000000002
0.001,True,True,15000,0.0001,sparse_cg,147.43022000000002
0.001,True,True,15000,0.0001,sag,147.4259
0.001,True,True,15000,0.0001,saga,147.43376
0.001,True,True,15000,0.001,auto,147.43225999999999
0.001,True,True,15000,0.001,svd,147.43225999999999
0.001,True,True,15000,0.001,cholesky,147.43225999999999
0.001,True,True,15000,0.001,lsqr,147.44986
0.001,True,True,15000,0.001,sparse_cg,147.44986
0.001,True,True,15000,0.001,sag,147.42396
0.001,True,True,15000,0.001,saga,147.45265999999998
0.001,True,True,15000,0.01,auto,147.43225999999999
0.001,True,True,15000,0.01,svd,147.43225999999999
0.001,True,True,15000,0.01,cholesky,147.43225999999999
0.001,True,True,15000,0.01,lsqr,147.21318
0.001,True,True,15000,0.01,sparse_cg,147.16642
0.001,True,True,15000,0.01,sag,147.88416
0.001,True,True,15000,0.01,saga,147.40501999999998
