N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,5,2,1,None,0,5.2272
10,5,2,1,None,0.1,5.21414
10,5,2,1,None,0.2,5.21058
10,5,2,1,None,0.3,5.26738
10,5,2,1,sqrt,0,130.25552
10,5,2,1,sqrt,0.1,144.50768
10,5,2,1,sqrt,0.2,142.52368
10,5,2,1,sqrt,0.3,137.44122
10,5,2,1,log2,0,152.17064
10,5,2,1,log2,0.1,157.0564
10,5,2,1,log2,0.2,113.8434
10,5,2,1,log2,0.3,143.6133
10,5,2,5,None,0,5.20864
10,5,2,5,None,0.1,5.23132
10,5,2,5,None,0.2,5.2564
10,5,2,5,None,0.3,5.20492
10,5,2,5,sqrt,0,113.51742
10,5,2,5,sqrt,0.1,121.85932
10,5,2,5,sqrt,0.2,136.5775
10,5,2,5,sqrt,0.3,114.35518
10,5,2,5,log2,0,102.66232
10,5,2,5,log2,0.1,115.40652
10,5,2,5,log2,0.2,154.64196
10,5,2,5,log2,0.3,141.30934
10,5,2,10,None,0,5.40126
10,5,2,10,None,0.1,5.4066
10,5,2,10,None,0.2,5.41944
10,5,2,10,None,0.3,5.35108
10,5,2,10,sqrt,0,139.82604
10,5,2,10,sqrt,0.1,127.33206
10,5,2,10,sqrt,0.2,154.61906
10,5,2,10,sqrt,0.3,148.99554
10,5,2,10,log2,0,105.5658
10,5,2,10,log2,0.1,145.86668
10,5,2,10,log2,0.2,131.6522
10,5,2,10,log2,0.3,136.2057
10,5,2,20,None,0,5.52036
10,5,2,20,None,0.1,5.54768
10,5,2,20,None,0.2,5.49992
10,5,2,20,None,0.3,5.50356
10,5,2,20,sqrt,0,141.71368
10,5,2,20,sqrt,0.1,171.85076
10,5,2,20,sqrt,0.2,144.21966
10,5,2,20,sqrt,0.3,137.3132
10,5,2,20,log2,0,172.85944
10,5,2,20,log2,0.1,162.6683
10,5,2,20,log2,0.2,139.99474
10,5,2,20,log2,0.3,155.80172
10,5,6,1,None,0,5.21198
10,5,6,1,None,0.1,5.26472
10,5,6,1,None,0.2,5.28016
10,5,6,1,None,0.3,5.29334
10,5,6,1,sqrt,0,114.57042
10,5,6,1,sqrt,0.1,125.71304
10,5,6,1,sqrt,0.2,148.45096
10,5,6,1,sqrt,0.3,158.85778
10,5,6,1,log2,0,133.65148
10,5,6,1,log2,0.1,116.21124
10,5,6,1,log2,0.2,157.79964
10,5,6,1,log2,0.3,132.30496
10,5,6,5,None,0,5.26074
10,5,6,5,None,0.1,5.25188
10,5,6,5,None,0.2,5.19918
10,5,6,5,None,0.3,5.2411
10,5,6,5,sqrt,0,130.05868
10,5,6,5,sqrt,0.1,101.86048
10,5,6,5,sqrt,0.2,114.62578
10,5,6,5,sqrt,0.3,110.41504
