N_estimators,criterion,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,Error-
10,squared_error,5,2,1,None,0.0,0.11599999999999999
10,squared_error,5,2,1,None,0.1,0.118
10,squared_error,5,2,1,None,0.2,0.118
10,squared_error,5,2,1,None,0.3,0.118
10,squared_error,5,2,1,sqrt,0.0,0.138
10,squared_error,5,2,1,sqrt,0.1,0.134
10,squared_error,5,2,1,sqrt,0.2,0.126
10,squared_error,5,2,1,sqrt,0.3,0.14400000000000002
10,squared_error,5,2,1,log2,0.0,0.14600000000000002
10,squared_error,5,2,1,log2,0.1,0.142
10,squared_error,5,2,1,log2,0.2,0.138
10,squared_error,5,2,1,log2,0.3,0.136
10,squared_error,5,2,5,None,0.0,0.11200000000000002
10,squared_error,5,2,5,None,0.1,0.11399999999999999
10,squared_error,5,2,5,None,0.2,0.118
10,squared_error,5,2,5,None,0.3,0.11399999999999999
10,squared_error,5,2,5,sqrt,0.0,0.126
10,squared_error,5,2,5,sqrt,0.1,0.156
10,squared_error,5,2,5,sqrt,0.2,0.14
10,squared_error,5,2,5,sqrt,0.3,0.132
10,squared_error,5,2,5,log2,0.0,0.144
10,squared_error,5,2,5,log2,0.1,0.14
10,squared_error,5,2,5,log2,0.2,0.128
10,squared_error,5,2,5,log2,0.3,0.14600000000000002
10,squared_error,5,2,10,None,0.0,0.124
10,squared_error,5,2,10,None,0.1,0.126
10,squared_error,5,2,10,None,0.2,0.132
10,squared_error,5,2,10,None,0.3,0.126
10,squared_error,5,2,10,sqrt,0.0,0.14
10,squared_error,5,2,10,sqrt,0.1,0.156
10,squared_error,5,2,10,sqrt,0.2,0.136
10,squared_error,5,2,10,sqrt,0.3,0.138
10,squared_error,5,2,10,log2,0.0,0.15000000000000002
10,squared_error,5,2,10,log2,0.1,0.156
10,squared_error,5,2,10,log2,0.2,0.14800000000000002
10,squared_error,5,2,10,log2,0.3,0.136
10,squared_error,5,2,20,None,0.0,0.17
10,squared_error,5,2,20,None,0.1,0.184
10,squared_error,5,2,20,None,0.2,0.18
10,squared_error,5,2,20,None,0.3,0.178
10,squared_error,5,2,20,sqrt,0.0,0.14600000000000002
10,squared_error,5,2,20,sqrt,0.1,0.16400000000000003
10,squared_error,5,2,20,sqrt,0.2,0.158
10,squared_error,5,2,20,sqrt,0.3,0.164
10,squared_error,5,2,20,log2,0.0,0.17400000000000002
10,squared_error,5,2,20,log2,0.1,0.17
10,squared_error,5,2,20,log2,0.2,0.154
10,squared_error,5,2,20,log2,0.3,0.156
10,squared_error,5,6,1,None,0.0,0.11199999999999999
10,squared_error,5,6,1,None,0.1,0.11000000000000001
10,squared_error,5,6,1,None,0.2,0.11400000000000002
10,squared_error,5,6,1,None,0.3,0.11599999999999999
10,squared_error,5,6,1,sqrt,0.0,0.14200000000000002
10,squared_error,5,6,1,sqrt,0.1,0.14
10,squared_error,5,6,1,sqrt,0.2,0.136
10,squared_error,5,6,1,sqrt,0.3,0.136
10,squared_error,5,6,1,log2,0.0,0.13
10,squared_error,5,6,1,log2,0.1,0.142
10,squared_error,5,6,1,log2,0.2,0.134
10,squared_error,5,6,1,log2,0.3,0.136
10,squared_error,5,6,5,None,0.0,0.12
10,squared_error,5,6,5,None,0.1,0.11599999999999999
10,squared_error,5,6,5,None,0.2,0.118
10,squared_error,5,6,5,None,0.3,0.11000000000000001
10,squared_error,5,6,5,sqrt,0.0,0.132
10,squared_error,5,6,5,sqrt,0.1,0.14600000000000002
10,squared_error,5,6,5,sqrt,0.2,0.13
10,squared_error,5,6,5,sqrt,0.3,0.14
10,squared_error,5,6,5,log2,0.0,0.15000000000000002
10,squared_error,5,6,5,log2,0.1,0.14200000000000002
10,squared_error,5,6,5,log2,0.2,0.132
10,squared_error,5,6,5,log2,0.3,0.13
10,squared_error,5,6,10,None,0.0,0.13
10,squared_error,5,6,10,None,0.1,0.128
10,squared_error,5,6,10,None,0.2,0.128
10,squared_error,5,6,10,None,0.3,0.134
10,squared_error,5,6,10,sqrt,0.0,0.15000000000000002
10,squared_error,5,6,10,sqrt,0.1,0.152
10,squared_error,5,6,10,sqrt,0.2,0.14800000000000002
10,squared_error,5,6,10,sqrt,0.3,0.14
10,squared_error,5,6,10,log2,0.0,0.14
10,squared_error,5,6,10,log2,0.1,0.14
10,squared_error,5,6,10,log2,0.2,0.15200000000000002
10,squared_error,5,6,10,log2,0.3,0.14
10,squared_error,5,6,20,None,0.0,0.17
10,squared_error,5,6,20,None,0.1,0.18000000000000002
10,squared_error,5,6,20,None,0.2,0.17400000000000002
10,squared_error,5,6,20,None,0.3,0.17600000000000002
10,squared_error,5,6,20,sqrt,0.0,0.174
10,squared_error,5,6,20,sqrt,0.1,0.15200000000000002
10,squared_error,5,6,20,sqrt,0.2,0.16
10,squared_error,5,6,20,sqrt,0.3,0.17200000000000001
10,squared_error,5,6,20,log2,0.0,0.17400000000000002
10,squared_error,5,6,20,log2,0.1,0.18000000000000002
10,squared_error,5,6,20,log2,0.2,0.162
10,squared_error,5,6,20,log2,0.3,0.166
10,squared_error,5,10,1,None,0.0,0.11399999999999999
10,squared_error,5,10,1,None,0.1,0.11399999999999999
10,squared_error,5,10,1,None,0.2,0.11400000000000002
10,squared_error,5,10,1,None,0.3,0.10800000000000001
10,squared_error,5,10,1,sqrt,0.0,0.14600000000000002
10,squared_error,5,10,1,sqrt,0.1,0.14800000000000002
10,squared_error,5,10,1,sqrt,0.2,0.136
10,squared_error,5,10,1,sqrt,0.3,0.14
10,squared_error,5,10,1,log2,0.0,0.156
10,squared_error,5,10,1,log2,0.1,0.14200000000000002
10,squared_error,5,10,1,log2,0.2,0.134
10,squared_error,5,10,1,log2,0.3,0.14800000000000002
10,squared_error,5,10,5,None,0.0,0.11599999999999999
10,squared_error,5,10,5,None,0.1,0.122
10,squared_error,5,10,5,None,0.2,0.11000000000000001
10,squared_error,5,10,5,None,0.3,0.11000000000000001
10,squared_error,5,10,5,sqrt,0.0,0.15000000000000002
10,squared_error,5,10,5,sqrt,0.1,0.128
10,squared_error,5,10,5,sqrt,0.2,0.124
10,squared_error,5,10,5,sqrt,0.3,0.14200000000000002
10,squared_error,5,10,5,log2,0.0,0.136
10,squared_error,5,10,5,log2,0.1,0.142
10,squared_error,5,10,5,log2,0.2,0.134
10,squared_error,5,10,5,log2,0.3,0.14800000000000002
10,squared_error,5,10,10,None,0.0,0.126
10,squared_error,5,10,10,None,0.1,0.13
10,squared_error,5,10,10,None,0.2,0.132
10,squared_error,5,10,10,None,0.3,0.13
10,squared_error,5,10,10,sqrt,0.0,0.14
10,squared_error,5,10,10,sqrt,0.1,0.154
10,squared_error,5,10,10,sqrt,0.2,0.15000000000000002
10,squared_error,5,10,10,sqrt,0.3,0.14400000000000002
10,squared_error,5,10,10,log2,0.0,0.14200000000000002
10,squared_error,5,10,10,log2,0.1,0.16
10,squared_error,5,10,10,log2,0.2,0.14400000000000002
10,squared_error,5,10,10,log2,0.3,0.14400000000000002
10,squared_error,5,10,20,None,0.0,0.17800000000000002
10,squared_error,5,10,20,None,0.1,0.17600000000000002
10,squared_error,5,10,20,None,0.2,0.174
10,squared_error,5,10,20,None,0.3,0.184
10,squared_error,5,10,20,sqrt,0.0,0.17400000000000002
10,squared_error,5,10,20,sqrt,0.1,0.176
10,squared_error,5,10,20,sqrt,0.2,0.168
10,squared_error,5,10,20,sqrt,0.3,0.164
10,squared_error,5,10,20,log2,0.0,0.164
10,squared_error,5,10,20,log2,0.1,0.154
10,squared_error,5,10,20,log2,0.2,0.15400000000000003
10,squared_error,5,10,20,log2,0.3,0.158
10,squared_error,5,20,1,None,0.0,0.11400000000000002
10,squared_error,5,20,1,None,0.1,0.11599999999999999
10,squared_error,5,20,1,None,0.2,0.11599999999999999
10,squared_error,5,20,1,None,0.3,0.11200000000000002
10,squared_error,5,20,1,sqrt,0.0,0.136
10,squared_error,5,20,1,sqrt,0.1,0.158
10,squared_error,5,20,1,sqrt,0.2,0.14400000000000002
10,squared_error,5,20,1,sqrt,0.3,0.14200000000000002
10,squared_error,5,20,1,log2,0.0,0.136
10,squared_error,5,20,1,log2,0.1,0.14200000000000002
10,squared_error,5,20,1,log2,0.2,0.14
10,squared_error,5,20,1,log2,0.3,0.14200000000000002
10,squared_error,5,20,5,None,0.0,0.122
10,squared_error,5,20,5,None,0.1,0.12
10,squared_error,5,20,5,None,0.2,0.118
10,squared_error,5,20,5,None,0.3,0.11000000000000001
10,squared_error,5,20,5,sqrt,0.0,0.15
10,squared_error,5,20,5,sqrt,0.1,0.15000000000000002
10,squared_error,5,20,5,sqrt,0.2,0.14600000000000002
10,squared_error,5,20,5,sqrt,0.3,0.134
10,squared_error,5,20,5,log2,0.0,0.14400000000000002
10,squared_error,5,20,5,log2,0.1,0.134
10,squared_error,5,20,5,log2,0.2,0.15200000000000002
10,squared_error,5,20,5,log2,0.3,0.14600000000000002
10,squared_error,5,20,10,None,0.0,0.13
10,squared_error,5,20,10,None,0.1,0.126
10,squared_error,5,20,10,None,0.2,0.128
10,squared_error,5,20,10,None,0.3,0.128
10,squared_error,5,20,10,sqrt,0.0,0.156
10,squared_error,5,20,10,sqrt,0.1,0.136
10,squared_error,5,20,10,sqrt,0.2,0.14600000000000002
10,squared_error,5,20,10,sqrt,0.3,0.136
10,squared_error,5,20,10,log2,0.0,0.164
10,squared_error,5,20,10,log2,0.1,0.14600000000000002
10,squared_error,5,20,10,log2,0.2,0.15000000000000002
10,squared_error,5,20,10,log2,0.3,0.162
10,squared_error,5,20,20,None,0.0,0.178
10,squared_error,5,20,20,None,0.1,0.17800000000000002
10,squared_error,5,20,20,None,0.2,0.18000000000000002
10,squared_error,5,20,20,None,0.3,0.17200000000000001
10,squared_error,5,20,20,sqrt,0.0,0.18
10,squared_error,5,20,20,sqrt,0.1,0.16799999999999998
10,squared_error,5,20,20,sqrt,0.2,0.162
10,squared_error,5,20,20,sqrt,0.3,0.17200000000000001
10,squared_error,5,20,20,log2,0.0,0.166
10,squared_error,5,20,20,log2,0.1,0.17800000000000002
10,squared_error,5,20,20,log2,0.2,0.166
10,squared_error,5,20,20,log2,0.3,0.158
10,squared_error,5,40,1,None,0.0,0.158
10,squared_error,5,40,1,None,0.1,0.158
10,squared_error,5,40,1,None,0.2,0.15800000000000003
10,squared_error,5,40,1,None,0.3,0.158
10,squared_error,5,40,1,sqrt,0.0,0.13999999999999999
10,squared_error,5,40,1,sqrt,0.1,0.158
10,squared_error,5,40,1,sqrt,0.2,0.17
10,squared_error,5,40,1,sqrt,0.3,0.148
10,squared_error,5,40,1,log2,0.0,0.168
10,squared_error,5,40,1,log2,0.1,0.148
10,squared_error,5,40,1,log2,0.2,0.158
10,squared_error,5,40,1,log2,0.3,0.15999999999999998
10,squared_error,5,40,5,None,0.0,0.156
10,squared_error,5,40,5,None,0.1,0.156
10,squared_error,5,40,5,None,0.2,0.156
10,squared_error,5,40,5,None,0.3,0.16
10,squared_error,5,40,5,sqrt,0.0,0.15400000000000003
10,squared_error,5,40,5,sqrt,0.1,0.14800000000000002
10,squared_error,5,40,5,sqrt,0.2,0.15200000000000002
10,squared_error,5,40,5,sqrt,0.3,0.152
10,squared_error,5,40,5,log2,0.0,0.15400000000000003
10,squared_error,5,40,5,log2,0.1,0.17400000000000002
10,squared_error,5,40,5,log2,0.2,0.138
10,squared_error,5,40,5,log2,0.3,0.164
10,squared_error,5,40,10,None,0.0,0.158
10,squared_error,5,40,10,None,0.1,0.156
10,squared_error,5,40,10,None,0.2,0.15400000000000003
10,squared_error,5,40,10,None,0.3,0.15600000000000003
10,squared_error,5,40,10,sqrt,0.0,0.16
10,squared_error,5,40,10,sqrt,0.1,0.152
10,squared_error,5,40,10,sqrt,0.2,0.14400000000000002
10,squared_error,5,40,10,sqrt,0.3,0.16799999999999998
10,squared_error,5,40,10,log2,0.0,0.168
10,squared_error,5,40,10,log2,0.1,0.16
10,squared_error,5,40,10,log2,0.2,0.15800000000000003
10,squared_error,5,40,10,log2,0.3,0.16999999999999998
10,squared_error,5,40,20,None,0.0,0.174
10,squared_error,5,40,20,None,0.1,0.17800000000000002
10,squared_error,5,40,20,None,0.2,0.17200000000000001
10,squared_error,5,40,20,None,0.3,0.18000000000000002
10,squared_error,5,40,20,sqrt,0.0,0.16
10,squared_error,5,40,20,sqrt,0.1,0.164
10,squared_error,5,40,20,sqrt,0.2,0.166
10,squared_error,5,40,20,sqrt,0.3,0.17200000000000001
10,squared_error,5,40,20,log2,0.0,0.166
10,squared_error,5,40,20,log2,0.1,0.16
10,squared_error,5,40,20,log2,0.2,0.16
10,squared_error,5,40,20,log2,0.3,0.156
10,squared_error,10,2,1,None,0.0,0.032
10,squared_error,10,2,1,None,0.1,0.03
10,squared_error,10,2,1,None,0.2,0.032
10,squared_error,10,2,1,None,0.3,0.032
10,squared_error,10,2,1,sqrt,0.0,0.05600000000000001
10,squared_error,10,2,1,sqrt,0.1,0.062
10,squared_error,10,2,1,sqrt,0.2,0.066
10,squared_error,10,2,1,sqrt,0.3,0.06
10,squared_error,10,2,1,log2,0.0,0.055999999999999994
10,squared_error,10,2,1,log2,0.1,0.068
10,squared_error,10,2,1,log2,0.2,0.06
10,squared_error,10,2,1,log2,0.3,0.06
10,squared_error,10,2,5,None,0.0,0.032
10,squared_error,10,2,5,None,0.1,0.033999999999999996
10,squared_error,10,2,5,None,0.2,0.032
10,squared_error,10,2,5,None,0.3,0.032
10,squared_error,10,2,5,sqrt,0.0,0.086
10,squared_error,10,2,5,sqrt,0.1,0.094
10,squared_error,10,2,5,sqrt,0.2,0.092
10,squared_error,10,2,5,sqrt,0.3,0.098
10,squared_error,10,2,5,log2,0.0,0.10200000000000001
10,squared_error,10,2,5,log2,0.1,0.084
10,squared_error,10,2,5,log2,0.2,0.088
10,squared_error,10,2,5,log2,0.3,0.082
10,squared_error,10,2,10,None,0.0,0.07400000000000001
10,squared_error,10,2,10,None,0.1,0.07400000000000001
10,squared_error,10,2,10,None,0.2,0.07400000000000001
10,squared_error,10,2,10,None,0.3,0.07200000000000001
10,squared_error,10,2,10,sqrt,0.0,0.12
10,squared_error,10,2,10,sqrt,0.1,0.118
10,squared_error,10,2,10,sqrt,0.2,0.124
10,squared_error,10,2,10,sqrt,0.3,0.122
10,squared_error,10,2,10,log2,0.0,0.11200000000000002
10,squared_error,10,2,10,log2,0.1,0.118
10,squared_error,10,2,10,log2,0.2,0.124
10,squared_error,10,2,10,log2,0.3,0.136
10,squared_error,10,2,20,None,0.0,0.16
10,squared_error,10,2,20,None,0.1,0.146
10,squared_error,10,2,20,None,0.2,0.152
10,squared_error,10,2,20,None,0.3,0.15
10,squared_error,10,2,20,sqrt,0.0,0.17
10,squared_error,10,2,20,sqrt,0.1,0.17200000000000001
10,squared_error,10,2,20,sqrt,0.2,0.152
10,squared_error,10,2,20,sqrt,0.3,0.176
10,squared_error,10,2,20,log2,0.0,0.162
10,squared_error,10,2,20,log2,0.1,0.158
10,squared_error,10,2,20,log2,0.2,0.17200000000000001
10,squared_error,10,2,20,log2,0.3,0.156
10,squared_error,10,6,1,None,0.0,0.03
10,squared_error,10,6,1,None,0.1,0.032
10,squared_error,10,6,1,None,0.2,0.032
10,squared_error,10,6,1,None,0.3,0.032
10,squared_error,10,6,1,sqrt,0.0,0.076
10,squared_error,10,6,1,sqrt,0.1,0.07600000000000001
10,squared_error,10,6,1,sqrt,0.2,0.07400000000000001
10,squared_error,10,6,1,sqrt,0.3,0.07200000000000001
10,squared_error,10,6,1,log2,0.0,0.07200000000000001
10,squared_error,10,6,1,log2,0.1,0.07400000000000001
10,squared_error,10,6,1,log2,0.2,0.066
10,squared_error,10,6,1,log2,0.3,0.07200000000000001
10,squared_error,10,6,5,None,0.0,0.034
10,squared_error,10,6,5,None,0.1,0.033999999999999996
10,squared_error,10,6,5,None,0.2,0.036
10,squared_error,10,6,5,None,0.3,0.034
10,squared_error,10,6,5,sqrt,0.0,0.088
10,squared_error,10,6,5,sqrt,0.1,0.084
10,squared_error,10,6,5,sqrt,0.2,0.098
10,squared_error,10,6,5,sqrt,0.3,0.1
10,squared_error,10,6,5,log2,0.0,0.09
10,squared_error,10,6,5,log2,0.1,0.09400000000000001
10,squared_error,10,6,5,log2,0.2,0.09000000000000001
10,squared_error,10,6,5,log2,0.3,0.096
10,squared_error,10,6,10,None,0.0,0.07
10,squared_error,10,6,10,None,0.1,0.078
10,squared_error,10,6,10,None,0.2,0.068
10,squared_error,10,6,10,None,0.3,0.066
10,squared_error,10,6,10,sqrt,0.0,0.12
10,squared_error,10,6,10,sqrt,0.1,0.118
10,squared_error,10,6,10,sqrt,0.2,0.118
10,squared_error,10,6,10,sqrt,0.3,0.12
10,squared_error,10,6,10,log2,0.0,0.122
10,squared_error,10,6,10,log2,0.1,0.13
10,squared_error,10,6,10,log2,0.2,0.11399999999999999
10,squared_error,10,6,10,log2,0.3,0.12
10,squared_error,10,6,20,None,0.0,0.15
10,squared_error,10,6,20,None,0.1,0.154
10,squared_error,10,6,20,None,0.2,0.152
10,squared_error,10,6,20,None,0.3,0.138
10,squared_error,10,6,20,sqrt,0.0,0.16
10,squared_error,10,6,20,sqrt,0.1,0.172
10,squared_error,10,6,20,sqrt,0.2,0.16599999999999998
10,squared_error,10,6,20,sqrt,0.3,0.17200000000000001
10,squared_error,10,6,20,log2,0.0,0.16799999999999998
10,squared_error,10,6,20,log2,0.1,0.156
10,squared_error,10,6,20,log2,0.2,0.14800000000000002
10,squared_error,10,6,20,log2,0.3,0.156
10,squared_error,10,10,1,None,0.0,0.033999999999999996
10,squared_error,10,10,1,None,0.1,0.036
10,squared_error,10,10,1,None,0.2,0.032
10,squared_error,10,10,1,None,0.3,0.032
10,squared_error,10,10,1,sqrt,0.0,0.098
10,squared_error,10,10,1,sqrt,0.1,0.09
10,squared_error,10,10,1,sqrt,0.2,0.092
10,squared_error,10,10,1,sqrt,0.3,0.092
10,squared_error,10,10,1,log2,0.0,0.086
10,squared_error,10,10,1,log2,0.1,0.08399999999999999
10,squared_error,10,10,1,log2,0.2,0.08
10,squared_error,10,10,1,log2,0.3,0.08800000000000001
