N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,5,2,1,5,0,11.6
10,5,2,1,5,0.1,11.8
10,5,2,1,5,0.2,11.8
10,5,2,1,5,0.3,11.8
10,5,2,1,sqrt,0,13.8
10,5,2,1,sqrt,0.1,13.4
10,5,2,1,sqrt,0.2,12.6
10,5,2,1,sqrt,0.3,14.4
10,5,2,1,log2,0,14.6
10,5,2,1,log2,0.1,14.2
10,5,2,1,log2,0.2,13.8
10,5,2,1,log2,0.3,13.6
10,5,2,5,5,0,11.2
10,5,2,5,5,0.1,11.4
10,5,2,5,5,0.2,11.8
10,5,2,5,5,0.3,11.4
10,5,2,5,sqrt,0,12.6
10,5,2,5,sqrt,0.1,15.6
10,5,2,5,sqrt,0.2,14
10,5,2,5,sqrt,0.3,13.2
10,5,2,5,log2,0,14.4
10,5,2,5,log2,0.1,14
10,5,2,5,log2,0.2,12.8
10,5,2,5,log2,0.3,14.6
10,5,2,10,5,0,12.4
10,5,2,10,5,0.1,12.6
10,5,2,10,5,0.2,13.2
10,5,2,10,5,0.3,12.6
10,5,2,10,sqrt,0,14
10,5,2,10,sqrt,0.1,15.6
10,5,2,10,sqrt,0.2,13.6
10,5,2,10,sqrt,0.3,13.8
10,5,2,10,log2,0,15
10,5,2,10,log2,0.1,15.6
10,5,2,10,log2,0.2,14.8
10,5,2,10,log2,0.3,13.6
10,5,2,20,5,0,17
10,5,2,20,5,0.1,18.4
10,5,2,20,5,0.2,18
10,5,2,20,5,0.3,17.8
10,5,2,20,sqrt,0,14.6
10,5,2,20,sqrt,0.1,16.4
10,5,2,20,sqrt,0.2,15.8
10,5,2,20,sqrt,0.3,16.4
10,5,2,20,log2,0,17.4
10,5,2,20,log2,0.1,17
10,5,2,20,log2,0.2,15.4
10,5,2,20,log2,0.3,15.6
10,5,6,1,5,0,11.2
10,5,6,1,5,0.1,11
10,5,6,1,5,0.2,11.4
10,5,6,1,5,0.3,11.6
10,5,6,1,sqrt,0,14.2
10,5,6,1,sqrt,0.1,14
10,5,6,1,sqrt,0.2,13.6
10,5,6,1,sqrt,0.3,13.6
10,5,6,1,log2,0,13
10,5,6,1,log2,0.1,14.2
10,5,6,1,log2,0.2,13.4
10,5,6,1,log2,0.3,13.6
10,5,6,5,5,0,12
10,5,6,5,5,0.1,11.6
10,5,6,5,5,0.2,11.8
10,5,6,5,5,0.3,11
10,5,6,5,sqrt,0,13.2
10,5,6,5,sqrt,0.1,14.6
10,5,6,5,sqrt,0.2,13
10,5,6,5,sqrt,0.3,14
10,5,6,5,log2,0,15
10,5,6,5,log2,0.1,14.2
10,5,6,5,log2,0.2,13.2
10,5,6,5,log2,0.3,13
10,5,6,10,5,0,13
10,5,6,10,5,0.1,12.8
10,5,6,10,5,0.2,12.8
10,5,6,10,5,0.3,13.4
10,5,6,10,sqrt,0,15
10,5,6,10,sqrt,0.1,15.2
10,5,6,10,sqrt,0.2,14.8
10,5,6,10,sqrt,0.3,14
10,5,6,10,log2,0,14
10,5,6,10,log2,0.1,14
10,5,6,10,log2,0.2,15.2
10,5,6,10,log2,0.3,14
10,5,6,20,5,0,17
10,5,6,20,5,0.1,18
10,5,6,20,5,0.2,17.4
10,5,6,20,5,0.3,17.6
10,5,6,20,sqrt,0,17.4
10,5,6,20,sqrt,0.1,15.2
10,5,6,20,sqrt,0.2,16
10,5,6,20,sqrt,0.3,17.2
10,5,6,20,log2,0,17.4
10,5,6,20,log2,0.1,18
10,5,6,20,log2,0.2,16.2
10,5,6,20,log2,0.3,16.6
