n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,error
10,squared_error,5.0,2,1,NoneValue,0.0,0.1159999999999999
10,squared_error,5.0,2,1,NoneValue,0.1,0.118
10,squared_error,5.0,2,1,NoneValue,0.2,0.118
10,squared_error,5.0,2,1,NoneValue,0.3,0.118
10,squared_error,5.0,2,1,sqrt,0.0,0.138
10,squared_error,5.0,2,1,sqrt,0.1,0.134
10,squared_error,5.0,2,1,sqrt,0.2,0.126
10,squared_error,5.0,2,1,sqrt,0.3,0.144
10,squared_error,5.0,2,1,log2,0.0,0.146
10,squared_error,5.0,2,1,log2,0.1,0.142
10,squared_error,5.0,2,1,log2,0.2,0.138
10,squared_error,5.0,2,1,log2,0.3,0.136
10,squared_error,5.0,2,5,NoneValue,0.0,0.112
10,squared_error,5.0,2,5,NoneValue,0.1,0.1139999999999999
10,squared_error,5.0,2,5,NoneValue,0.2,0.118
10,squared_error,5.0,2,5,NoneValue,0.3,0.1139999999999999
10,squared_error,5.0,2,5,sqrt,0.0,0.126
10,squared_error,5.0,2,5,sqrt,0.1,0.156
10,squared_error,5.0,2,5,sqrt,0.2,0.14
10,squared_error,5.0,2,5,sqrt,0.3,0.132
10,squared_error,5.0,2,5,log2,0.0,0.144
10,squared_error,5.0,2,5,log2,0.1,0.14
10,squared_error,5.0,2,5,log2,0.2,0.128
10,squared_error,5.0,2,5,log2,0.3,0.146
10,squared_error,5.0,2,10,NoneValue,0.0,0.124
10,squared_error,5.0,2,10,NoneValue,0.1,0.126
10,squared_error,5.0,2,10,NoneValue,0.2,0.132
10,squared_error,5.0,2,10,NoneValue,0.3,0.126
10,squared_error,5.0,2,10,sqrt,0.0,0.14
10,squared_error,5.0,2,10,sqrt,0.1,0.156
10,squared_error,5.0,2,10,sqrt,0.2,0.136
10,squared_error,5.0,2,10,sqrt,0.3,0.138
10,squared_error,5.0,2,10,log2,0.0,0.15
10,squared_error,5.0,2,10,log2,0.1,0.156
10,squared_error,5.0,2,10,log2,0.2,0.148
10,squared_error,5.0,2,10,log2,0.3,0.136
10,squared_error,5.0,2,20,NoneValue,0.0,0.17
10,squared_error,5.0,2,20,NoneValue,0.1,0.184
10,squared_error,5.0,2,20,NoneValue,0.2,0.18
10,squared_error,5.0,2,20,NoneValue,0.3,0.178
10,squared_error,5.0,2,20,sqrt,0.0,0.146
10,squared_error,5.0,2,20,sqrt,0.1,0.164
10,squared_error,5.0,2,20,sqrt,0.2,0.158
10,squared_error,5.0,2,20,sqrt,0.3,0.164
10,squared_error,5.0,2,20,log2,0.0,0.174
10,squared_error,5.0,2,20,log2,0.1,0.17
